#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:24:53.965591512Z,40.98,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:24:55.965243677Z,41.67,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:24:57.966109701Z,43.79,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:24:59.965846969Z,45.32,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:01.965629889Z,44.22,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:03.966356898Z,44.68,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:05.965865229Z,44.92,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:07.965408891Z,46.09,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:09.966281875Z,47.11,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:11.965970811Z,47.25,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:13.96541163Z,47.65,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:15.965919103Z,47.44,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:17.965345791Z,46.69,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:19.966325928Z,47.74,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:21.965998664Z,48.62,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:23.965702001Z,49.77,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:25.965308645Z,50.38,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:27.965838399Z,50.95,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:29.965520775Z,51.04,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:31.966141731Z,51.5,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:33.965860508Z,51.67,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:35.965263556Z,51.42,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:37.965844741Z,51.86,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:39.96563197Z,52.29,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:41.966257756Z,51.6,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:43.965680454Z,51.94,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:45.965225087Z,51.33,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:47.966222594Z,52.2,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:49.965659323Z,52.82,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:51.965293977Z,53.23,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:53.966117029Z,53.09,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:55.96593524Z,53.51,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:57.96541351Z,53.93,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:25:59.966120069Z,53.8,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:26:01.965707322Z,54.14,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:26:03.966062329Z,54.66,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:26:05.965813638Z,54.14,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:26:07.965315688Z,54.34,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:26:09.966193702Z,54.42,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:26:11.96591Z,54.98,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:26:13.965285307Z,55.13,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:26:15.965894052Z,55.61,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:26:17.965711803Z,55.57,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:26:19.966291617Z,55.81,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:26:21.965475838Z,56.7,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:26:24.965406025Z,57.12,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:26:26.966287489Z,57.14,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:26:28.965556952Z,57.59,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:26:30.965262379Z,58.05,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
,,0,2023-05-13T12:40:56.926260085Z,2023-06-12T12:40:56.926260085Z,2023-06-02T06:26:32.966096042Z,58.1,docker_used_memory_mb,adapter_removal (DA82_L1) (398),adapter_removal (DA82_L1) (398),1194303,398
