#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-13T12:43:09.672123512Z,2023-06-12T12:43:09.672123512Z,2023-06-03T08:16:42.945554878Z,2998.35,docker_used_memory_mb,bwa (DA17) (861),bwa (DA17) (861),1393017,861
,,0,2023-05-13T12:43:09.672123512Z,2023-06-12T12:43:09.672123512Z,2023-06-03T08:16:44.946322627Z,3733.84,docker_used_memory_mb,bwa (DA17) (861),bwa (DA17) (861),1393017,861
,,0,2023-05-13T12:43:09.672123512Z,2023-06-12T12:43:09.672123512Z,2023-06-03T08:16:46.961190536Z,3976.95,docker_used_memory_mb,bwa (DA17) (861),bwa (DA17) (861),1393017,861
,,0,2023-05-13T12:43:09.672123512Z,2023-06-12T12:43:09.672123512Z,2023-06-03T08:16:48.961053864Z,4133.13,docker_used_memory_mb,bwa (DA17) (861),bwa (DA17) (861),1393017,861
,,0,2023-05-13T12:43:09.672123512Z,2023-06-12T12:43:09.672123512Z,2023-06-03T08:16:51.973080775Z,4286.11,docker_used_memory_mb,bwa (DA17) (861),bwa (DA17) (861),1393017,861
,,0,2023-05-13T12:43:09.672123512Z,2023-06-12T12:43:09.672123512Z,2023-06-03T08:16:54.961174123Z,4332.51,docker_used_memory_mb,bwa (DA17) (861),bwa (DA17) (861),1393017,861
,,0,2023-05-13T12:43:09.672123512Z,2023-06-12T12:43:09.672123512Z,2023-06-03T08:16:57.953192886Z,4397.32,docker_used_memory_mb,bwa (DA17) (861),bwa (DA17) (861),1393017,861
,,0,2023-05-13T12:43:09.672123512Z,2023-06-12T12:43:09.672123512Z,2023-06-03T08:17:00.945940533Z,4438.5,docker_used_memory_mb,bwa (DA17) (861),bwa (DA17) (861),1393017,861
,,0,2023-05-13T12:43:09.672123512Z,2023-06-12T12:43:09.672123512Z,2023-06-03T08:17:02.949065112Z,4468.77,docker_used_memory_mb,bwa (DA17) (861),bwa (DA17) (861),1393017,861
,,0,2023-05-13T12:43:09.672123512Z,2023-06-12T12:43:09.672123512Z,2023-06-03T08:17:04.961126033Z,4485.52,docker_used_memory_mb,bwa (DA17) (861),bwa (DA17) (861),1393017,861
,,0,2023-05-13T12:43:09.672123512Z,2023-06-12T12:43:09.672123512Z,2023-06-03T08:17:08.949167924Z,4545.77,docker_used_memory_mb,bwa (DA17) (861),bwa (DA17) (861),1393017,861
,,0,2023-05-13T12:43:09.672123512Z,2023-06-12T12:43:09.672123512Z,2023-06-03T08:17:11.957084509Z,4557.81,docker_used_memory_mb,bwa (DA17) (861),bwa (DA17) (861),1393017,861
