#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2023-05-13T12:43:22.566481375Z,2023-06-12T12:43:22.566481375Z,2023-06-07T04:56:54.168330728Z,CREATE,file_event,bwa (DA99) (960),bwa (DA99) (960),/home/nilsd/nextflow/build/work/67/c6f3055d96afd5a80cf11ee886eedf/.command.trace,99999,960
,,0,2023-05-13T12:43:22.566481375Z,2023-06-12T12:43:22.566481375Z,2023-06-07T04:56:54.187016867Z,CREATE,file_event,bwa (DA99) (960),bwa (DA99) (960),/home/nilsd/nextflow/build/work/67/c6f3055d96afd5a80cf11ee886eedf/DA99.sai,99999,960
,,0,2023-05-13T12:43:22.566481375Z,2023-06-12T12:43:22.566481375Z,2023-06-07T07:36:51.964391162Z,CREATE,file_event,bwa (DA99) (960),bwa (DA99) (960),/home/nilsd/nextflow/build/work/67/c6f3055d96afd5a80cf11ee886eedf/DA99_SE.mapped.bam,99999,960
,,0,2023-05-13T12:43:22.566481375Z,2023-06-12T12:43:22.566481375Z,2023-06-07T07:43:58.926748008Z,CREATE,file_event,bwa (DA99) (960),bwa (DA99) (960),/home/nilsd/nextflow/build/work/67/c6f3055d96afd5a80cf11ee886eedf/samtools.24937.4706.tmp.0005.bam,99999,960
,,0,2023-05-13T12:43:22.566481375Z,2023-06-12T12:43:22.566481375Z,2023-06-07T07:43:58.933147961Z,CREATE,file_event,bwa (DA99) (960),bwa (DA99) (960),/home/nilsd/nextflow/build/work/67/c6f3055d96afd5a80cf11ee886eedf/samtools.24937.4706.tmp.0006.bam,99999,960
,,0,2023-05-13T12:43:22.566481375Z,2023-06-12T12:43:22.566481375Z,2023-06-07T07:43:58.950021355Z,CREATE,file_event,bwa (DA99) (960),bwa (DA99) (960),/home/nilsd/nextflow/build/work/67/c6f3055d96afd5a80cf11ee886eedf/samtools.24937.4706.tmp.0000.bam,99999,960
,,0,2023-05-13T12:43:22.566481375Z,2023-06-12T12:43:22.566481375Z,2023-06-07T07:43:58.965444883Z,CREATE,file_event,bwa (DA99) (960),bwa (DA99) (960),/home/nilsd/nextflow/build/work/67/c6f3055d96afd5a80cf11ee886eedf/samtools.24937.4706.tmp.0002.bam,99999,960
,,0,2023-05-13T12:43:22.566481375Z,2023-06-12T12:43:22.566481375Z,2023-06-07T07:43:59.030024988Z,CREATE,file_event,bwa (DA99) (960),bwa (DA99) (960),/home/nilsd/nextflow/build/work/67/c6f3055d96afd5a80cf11ee886eedf/samtools.24937.4706.tmp.0001.bam,99999,960
,,0,2023-05-13T12:43:22.566481375Z,2023-06-12T12:43:22.566481375Z,2023-06-07T07:43:59.038582739Z,CREATE,file_event,bwa (DA99) (960),bwa (DA99) (960),/home/nilsd/nextflow/build/work/67/c6f3055d96afd5a80cf11ee886eedf/samtools.24937.4706.tmp.0003.bam,99999,960
,,0,2023-05-13T12:43:22.566481375Z,2023-06-12T12:43:22.566481375Z,2023-06-07T07:43:59.118130068Z,CREATE,file_event,bwa (DA99) (960),bwa (DA99) (960),/home/nilsd/nextflow/build/work/67/c6f3055d96afd5a80cf11ee886eedf/samtools.24937.4706.tmp.0004.bam,99999,960
