#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-13T12:40:26.641963102Z,2023-06-12T12:40:26.641963102Z,2023-06-01T23:02:50.596087675Z,153.9448,docker_cpu_usage_pct,fastqc (DA4_L1) (297),fastqc (DA4_L1) (297),355585,297
,,0,2023-05-13T12:40:26.641963102Z,2023-06-12T12:40:26.641963102Z,2023-06-01T23:02:52.595728061Z,108.3378,docker_cpu_usage_pct,fastqc (DA4_L1) (297),fastqc (DA4_L1) (297),355585,297
,,0,2023-05-13T12:40:26.641963102Z,2023-06-12T12:40:26.641963102Z,2023-06-01T23:02:54.5954665Z,106.6123,docker_cpu_usage_pct,fastqc (DA4_L1) (297),fastqc (DA4_L1) (297),355585,297
,,0,2023-05-13T12:40:26.641963102Z,2023-06-12T12:40:26.641963102Z,2023-06-01T23:02:56.596085245Z,105.844,docker_cpu_usage_pct,fastqc (DA4_L1) (297),fastqc (DA4_L1) (297),355585,297
,,0,2023-05-13T12:40:26.641963102Z,2023-06-12T12:40:26.641963102Z,2023-06-01T23:02:58.595804803Z,106.2844,docker_cpu_usage_pct,fastqc (DA4_L1) (297),fastqc (DA4_L1) (297),355585,297
,,0,2023-05-13T12:40:26.641963102Z,2023-06-12T12:40:26.641963102Z,2023-06-01T23:03:00.595627485Z,101.5624,docker_cpu_usage_pct,fastqc (DA4_L1) (297),fastqc (DA4_L1) (297),355585,297
,,0,2023-05-13T12:40:26.641963102Z,2023-06-12T12:40:26.641963102Z,2023-06-01T23:03:03.595880032Z,99.6596,docker_cpu_usage_pct,fastqc (DA4_L1) (297),fastqc (DA4_L1) (297),355585,297
,,0,2023-05-13T12:40:26.641963102Z,2023-06-12T12:40:26.641963102Z,2023-06-01T23:03:05.596038693Z,106.1129,docker_cpu_usage_pct,fastqc (DA4_L1) (297),fastqc (DA4_L1) (297),355585,297
,,0,2023-05-13T12:40:26.641963102Z,2023-06-12T12:40:26.641963102Z,2023-06-01T23:03:07.596021569Z,100.2617,docker_cpu_usage_pct,fastqc (DA4_L1) (297),fastqc (DA4_L1) (297),355585,297
,,0,2023-05-13T12:40:26.641963102Z,2023-06-12T12:40:26.641963102Z,2023-06-01T23:03:09.595549601Z,100.1883,docker_cpu_usage_pct,fastqc (DA4_L1) (297),fastqc (DA4_L1) (297),355585,297
,,0,2023-05-13T12:40:26.641963102Z,2023-06-12T12:40:26.641963102Z,2023-06-01T23:03:11.59631157Z,100.0057,docker_cpu_usage_pct,fastqc (DA4_L1) (297),fastqc (DA4_L1) (297),355585,297
,,0,2023-05-13T12:40:26.641963102Z,2023-06-12T12:40:26.641963102Z,2023-06-01T23:03:13.595965906Z,100.3782,docker_cpu_usage_pct,fastqc (DA4_L1) (297),fastqc (DA4_L1) (297),355585,297
,,0,2023-05-13T12:40:26.641963102Z,2023-06-12T12:40:26.641963102Z,2023-06-01T23:03:15.595631252Z,105.7914,docker_cpu_usage_pct,fastqc (DA4_L1) (297),fastqc (DA4_L1) (297),355585,297
