#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-13T12:27:16.174051128Z,2023-06-12T12:27:16.174051128Z,2023-06-01T23:15:12.256419254Z,316.33,docker_used_memory_mb,makeBWAIndex (hg19.fa) (413),makeBWAIndex (hg19.fa) (413),889742,413
,,0,2023-05-13T12:27:16.174051128Z,2023-06-12T12:27:16.174051128Z,2023-06-01T23:15:14.254455647Z,512.01,docker_used_memory_mb,makeBWAIndex (hg19.fa) (413),makeBWAIndex (hg19.fa) (413),889742,413
,,0,2023-05-13T12:27:16.174051128Z,2023-06-12T12:27:16.174051128Z,2023-06-01T23:15:16.255017196Z,511.63,docker_used_memory_mb,makeBWAIndex (hg19.fa) (413),makeBWAIndex (hg19.fa) (413),889742,413
,,0,2023-05-13T12:27:16.174051128Z,2023-06-12T12:27:16.174051128Z,2023-06-01T23:15:18.25467357Z,769.04,docker_used_memory_mb,makeBWAIndex (hg19.fa) (413),makeBWAIndex (hg19.fa) (413),889742,413
,,0,2023-05-13T12:27:16.174051128Z,2023-06-12T12:27:16.174051128Z,2023-06-01T23:15:20.254376649Z,770.07,docker_used_memory_mb,makeBWAIndex (hg19.fa) (413),makeBWAIndex (hg19.fa) (413),889742,413
,,0,2023-05-13T12:27:16.174051128Z,2023-06-12T12:27:16.174051128Z,2023-06-01T23:15:23.255009677Z,770.38,docker_used_memory_mb,makeBWAIndex (hg19.fa) (413),makeBWAIndex (hg19.fa) (413),889742,413
,,0,2023-05-13T12:27:16.174051128Z,2023-06-12T12:27:16.174051128Z,2023-06-01T23:15:25.254890342Z,770.38,docker_used_memory_mb,makeBWAIndex (hg19.fa) (413),makeBWAIndex (hg19.fa) (413),889742,413
,,0,2023-05-13T12:27:16.174051128Z,2023-06-12T12:27:16.174051128Z,2023-06-01T23:15:27.257092456Z,1283.69,docker_used_memory_mb,makeBWAIndex (hg19.fa) (413),makeBWAIndex (hg19.fa) (413),889742,413
,,0,2023-05-13T12:27:16.174051128Z,2023-06-12T12:27:16.174051128Z,2023-06-01T23:15:29.254714205Z,1283.68,docker_used_memory_mb,makeBWAIndex (hg19.fa) (413),makeBWAIndex (hg19.fa) (413),889742,413
,,0,2023-05-13T12:27:16.174051128Z,2023-06-12T12:27:16.174051128Z,2023-06-01T23:15:31.254712545Z,1283.68,docker_used_memory_mb,makeBWAIndex (hg19.fa) (413),makeBWAIndex (hg19.fa) (413),889742,413
