#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-13T12:27:39.0709038Z,2023-06-12T12:27:39.0709038Z,2023-06-01T23:15:18.963079982Z,297.09,docker_used_memory_mb,makeSeqDict (hg19.fa) (416),makeSeqDict (hg19.fa) (416),895421,416
,,0,2023-05-13T12:27:39.0709038Z,2023-06-12T12:27:39.0709038Z,2023-06-01T23:15:20.962987051Z,775.55,docker_used_memory_mb,makeSeqDict (hg19.fa) (416),makeSeqDict (hg19.fa) (416),895421,416
,,0,2023-05-13T12:27:39.0709038Z,2023-06-12T12:27:39.0709038Z,2023-06-01T23:15:22.962516703Z,1335.21,docker_used_memory_mb,makeSeqDict (hg19.fa) (416),makeSeqDict (hg19.fa) (416),895421,416
,,0,2023-05-13T12:27:39.0709038Z,2023-06-12T12:27:39.0709038Z,2023-06-01T23:15:24.963073882Z,1761.99,docker_used_memory_mb,makeSeqDict (hg19.fa) (416),makeSeqDict (hg19.fa) (416),895421,416
,,0,2023-05-13T12:27:39.0709038Z,2023-06-12T12:27:39.0709038Z,2023-06-01T23:15:26.962792617Z,2051.3,docker_used_memory_mb,makeSeqDict (hg19.fa) (416),makeSeqDict (hg19.fa) (416),895421,416
,,0,2023-05-13T12:27:39.0709038Z,2023-06-12T12:27:39.0709038Z,2023-06-01T23:15:28.962669682Z,2131.06,docker_used_memory_mb,makeSeqDict (hg19.fa) (416),makeSeqDict (hg19.fa) (416),895421,416
,,0,2023-05-13T12:27:39.0709038Z,2023-06-12T12:27:39.0709038Z,2023-06-01T23:15:30.963274075Z,2409.6,docker_used_memory_mb,makeSeqDict (hg19.fa) (416),makeSeqDict (hg19.fa) (416),895421,416
,,0,2023-05-13T12:27:39.0709038Z,2023-06-12T12:27:39.0709038Z,2023-06-01T23:15:32.962891809Z,2990.66,docker_used_memory_mb,makeSeqDict (hg19.fa) (416),makeSeqDict (hg19.fa) (416),895421,416
,,0,2023-05-13T12:27:39.0709038Z,2023-06-12T12:27:39.0709038Z,2023-06-01T23:15:34.962623261Z,3334.03,docker_used_memory_mb,makeSeqDict (hg19.fa) (416),makeSeqDict (hg19.fa) (416),895421,416
,,0,2023-05-13T12:27:39.0709038Z,2023-06-12T12:27:39.0709038Z,2023-06-01T23:15:36.963347091Z,3443.04,docker_used_memory_mb,makeSeqDict (hg19.fa) (416),makeSeqDict (hg19.fa) (416),895421,416
,,0,2023-05-13T12:27:39.0709038Z,2023-06-12T12:27:39.0709038Z,2023-06-01T23:15:38.962910267Z,3470.05,docker_used_memory_mb,makeSeqDict (hg19.fa) (416),makeSeqDict (hg19.fa) (416),895421,416
,,0,2023-05-13T12:27:39.0709038Z,2023-06-12T12:27:39.0709038Z,2023-06-01T23:15:40.962813888Z,3891.03,docker_used_memory_mb,makeSeqDict (hg19.fa) (416),makeSeqDict (hg19.fa) (416),895421,416
,,0,2023-05-13T12:27:39.0709038Z,2023-06-12T12:27:39.0709038Z,2023-06-01T23:15:42.962382022Z,3955.54,docker_used_memory_mb,makeSeqDict (hg19.fa) (416),makeSeqDict (hg19.fa) (416),895421,416
