#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-13T14:17:32.914906167Z,2023-06-12T14:17:32.914906167Z,2023-06-08T00:51:21.809997876Z,101.6998,docker_cpu_usage_pct,mtnucratio (DA16) (2040),mtnucratio (DA16) (2040),272368,2040
,,0,2023-05-13T14:17:32.914906167Z,2023-06-12T14:17:32.914906167Z,2023-06-08T00:51:23.808987605Z,101.7125,docker_cpu_usage_pct,mtnucratio (DA16) (2040),mtnucratio (DA16) (2040),272368,2040
,,0,2023-05-13T14:17:32.914906167Z,2023-06-12T14:17:32.914906167Z,2023-06-08T00:51:25.809333187Z,96.0832,docker_cpu_usage_pct,mtnucratio (DA16) (2040),mtnucratio (DA16) (2040),272368,2040
,,0,2023-05-13T14:17:32.914906167Z,2023-06-12T14:17:32.914906167Z,2023-06-08T00:51:27.807165071Z,98.1384,docker_cpu_usage_pct,mtnucratio (DA16) (2040),mtnucratio (DA16) (2040),272368,2040
,,0,2023-05-13T14:17:32.914906167Z,2023-06-12T14:17:32.914906167Z,2023-06-08T00:51:29.806534501Z,103.1917,docker_cpu_usage_pct,mtnucratio (DA16) (2040),mtnucratio (DA16) (2040),272368,2040
,,0,2023-05-13T14:17:32.914906167Z,2023-06-12T14:17:32.914906167Z,2023-06-08T00:51:31.809051911Z,99.2447,docker_cpu_usage_pct,mtnucratio (DA16) (2040),mtnucratio (DA16) (2040),272368,2040
,,0,2023-05-13T14:17:32.914906167Z,2023-06-12T14:17:32.914906167Z,2023-06-08T00:51:33.809222797Z,97.6211,docker_cpu_usage_pct,mtnucratio (DA16) (2040),mtnucratio (DA16) (2040),272368,2040
,,0,2023-05-13T14:17:32.914906167Z,2023-06-12T14:17:32.914906167Z,2023-06-08T00:51:35.808928128Z,101.8649,docker_cpu_usage_pct,mtnucratio (DA16) (2040),mtnucratio (DA16) (2040),272368,2040
,,0,2023-05-13T14:17:32.914906167Z,2023-06-12T14:17:32.914906167Z,2023-06-08T00:51:37.80770571Z,99.4547,docker_cpu_usage_pct,mtnucratio (DA16) (2040),mtnucratio (DA16) (2040),272368,2040
,,0,2023-05-13T14:17:32.914906167Z,2023-06-12T14:17:32.914906167Z,2023-06-08T00:51:39.807034098Z,101.1119,docker_cpu_usage_pct,mtnucratio (DA16) (2040),mtnucratio (DA16) (2040),272368,2040
