#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:56:13.703573425Z,101.9649,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:56:15.709712039Z,102.7424,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:56:17.70742963Z,103.5966,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:56:20.704992274Z,102.481,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:56:22.703653721Z,101.4831,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:56:24.705911054Z,102.8337,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:56:26.703557734Z,102.9193,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:56:28.709141576Z,102.3212,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:56:30.703539528Z,104.15,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:56:33.705183303Z,103.43,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:56:36.708400241Z,102.9441,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:56:38.703798315Z,103.6767,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:56:40.708586386Z,101.78,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:56:42.706971498Z,103.7013,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:56:44.706024553Z,102.5849,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:56:46.709148638Z,101.7643,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:56:48.706510205Z,101.7828,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:56:50.705086082Z,102.3921,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:56:52.707896874Z,101.7245,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:56:55.704097955Z,101.5087,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:56:57.704648292Z,102.5992,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:56:59.704337294Z,102.339,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:01.708934082Z,104.0777,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:03.704412587Z,103.1988,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:05.704401035Z,102.319,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:07.704686014Z,103.6133,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:09.704258623Z,103.364,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:11.705386804Z,102.7909,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:13.705022059Z,101.868,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:15.705289857Z,103.3262,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:17.703391449Z,102.5053,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:19.704124305Z,101.0718,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:21.703823281Z,101.8823,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:24.706974868Z,101.972,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:26.703472798Z,102.0867,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:28.703505252Z,102.1702,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:30.703460196Z,102.4609,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:32.703269777Z,102.4961,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:34.705181396Z,101.4757,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:37.705748002Z,102.5851,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:39.70489795Z,101.9851,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:42.703200111Z,99.3085,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:44.703391308Z,102.8407,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:46.707485469Z,104.5202,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:48.711141647Z,103.2327,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
,,0,2023-05-13T14:16:49.081476305Z,2023-06-12T14:16:49.081476305Z,2023-06-07T11:57:50.705106213Z,102.645,docker_cpu_usage_pct,preseq (DA123) (1353),preseq (DA123) (1353),2526886,1353
