#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-13T14:16:50.423364778Z,2023-06-12T14:16:50.423364778Z,2023-06-07T11:57:27.740724072Z,13.71,docker_used_memory_mb,preseq (DA17) (1364),preseq (DA17) (1364),2566141,1364
,,0,2023-05-13T14:16:50.423364778Z,2023-06-12T14:16:50.423364778Z,2023-06-07T11:57:29.745014241Z,16.45,docker_used_memory_mb,preseq (DA17) (1364),preseq (DA17) (1364),2566141,1364
,,0,2023-05-13T14:16:50.423364778Z,2023-06-12T14:16:50.423364778Z,2023-06-07T11:57:31.745008547Z,17.82,docker_used_memory_mb,preseq (DA17) (1364),preseq (DA17) (1364),2566141,1364
,,0,2023-05-13T14:16:50.423364778Z,2023-06-12T14:16:50.423364778Z,2023-06-07T11:57:33.741091312Z,18.64,docker_used_memory_mb,preseq (DA17) (1364),preseq (DA17) (1364),2566141,1364
,,0,2023-05-13T14:16:50.423364778Z,2023-06-12T14:16:50.423364778Z,2023-06-07T11:57:35.740859865Z,19.61,docker_used_memory_mb,preseq (DA17) (1364),preseq (DA17) (1364),2566141,1364
,,0,2023-05-13T14:16:50.423364778Z,2023-06-12T14:16:50.423364778Z,2023-06-07T11:57:37.741122885Z,19.34,docker_used_memory_mb,preseq (DA17) (1364),preseq (DA17) (1364),2566141,1364
,,0,2023-05-13T14:16:50.423364778Z,2023-06-12T14:16:50.423364778Z,2023-06-07T11:57:39.741242764Z,19.58,docker_used_memory_mb,preseq (DA17) (1364),preseq (DA17) (1364),2566141,1364
,,0,2023-05-13T14:16:50.423364778Z,2023-06-12T14:16:50.423364778Z,2023-06-07T11:57:41.742971844Z,19.52,docker_used_memory_mb,preseq (DA17) (1364),preseq (DA17) (1364),2566141,1364
,,0,2023-05-13T14:16:50.423364778Z,2023-06-12T14:16:50.423364778Z,2023-06-07T11:57:44.74125355Z,19.75,docker_used_memory_mb,preseq (DA17) (1364),preseq (DA17) (1364),2566141,1364
,,0,2023-05-13T14:16:50.423364778Z,2023-06-12T14:16:50.423364778Z,2023-06-07T11:57:46.742519942Z,19.77,docker_used_memory_mb,preseq (DA17) (1364),preseq (DA17) (1364),2566141,1364
,,0,2023-05-13T14:16:50.423364778Z,2023-06-12T14:16:50.423364778Z,2023-06-07T11:57:48.740602195Z,19.6,docker_used_memory_mb,preseq (DA17) (1364),preseq (DA17) (1364),2566141,1364
,,0,2023-05-13T14:16:50.423364778Z,2023-06-12T14:16:50.423364778Z,2023-06-07T11:57:50.740713404Z,19.64,docker_used_memory_mb,preseq (DA17) (1364),preseq (DA17) (1364),2566141,1364
,,0,2023-05-13T14:16:50.423364778Z,2023-06-12T14:16:50.423364778Z,2023-06-07T11:57:52.746318108Z,19.77,docker_used_memory_mb,preseq (DA17) (1364),preseq (DA17) (1364),2566141,1364
,,0,2023-05-13T14:16:50.423364778Z,2023-06-12T14:16:50.423364778Z,2023-06-07T11:57:54.741894408Z,20.08,docker_used_memory_mb,preseq (DA17) (1364),preseq (DA17) (1364),2566141,1364
,,0,2023-05-13T14:16:50.423364778Z,2023-06-12T14:16:50.423364778Z,2023-06-07T11:57:56.741040943Z,20.16,docker_used_memory_mb,preseq (DA17) (1364),preseq (DA17) (1364),2566141,1364
,,0,2023-05-13T14:16:50.423364778Z,2023-06-12T14:16:50.423364778Z,2023-06-07T11:57:58.745065763Z,20.09,docker_used_memory_mb,preseq (DA17) (1364),preseq (DA17) (1364),2566141,1364
