#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-13T14:17:14.375653825Z,2023-06-12T14:17:14.375653825Z,2023-06-08T01:14:41.051470513Z,168.165,docker_cpu_usage_pct,qualimap (DA142) (2854),qualimap (DA142) (2854),1626310,2854
,,0,2023-05-13T14:17:14.375653825Z,2023-06-12T14:17:14.375653825Z,2023-06-08T01:14:44.061242981Z,192.2135,docker_cpu_usage_pct,qualimap (DA142) (2854),qualimap (DA142) (2854),1626310,2854
,,0,2023-05-13T14:17:14.375653825Z,2023-06-12T14:17:14.375653825Z,2023-06-08T01:14:48.057449312Z,184.5254,docker_cpu_usage_pct,qualimap (DA142) (2854),qualimap (DA142) (2854),1626310,2854
,,0,2023-05-13T14:17:14.375653825Z,2023-06-12T14:17:14.375653825Z,2023-06-08T01:14:51.053879152Z,165.336,docker_cpu_usage_pct,qualimap (DA142) (2854),qualimap (DA142) (2854),1626310,2854
,,0,2023-05-13T14:17:14.375653825Z,2023-06-12T14:17:14.375653825Z,2023-06-08T01:14:54.05469375Z,173.8125,docker_cpu_usage_pct,qualimap (DA142) (2854),qualimap (DA142) (2854),1626310,2854
,,0,2023-05-13T14:17:14.375653825Z,2023-06-12T14:17:14.375653825Z,2023-06-08T01:14:57.053306509Z,170.0096,docker_cpu_usage_pct,qualimap (DA142) (2854),qualimap (DA142) (2854),1626310,2854
,,0,2023-05-13T14:17:14.375653825Z,2023-06-12T14:17:14.375653825Z,2023-06-08T01:15:00.051237166Z,163.6222,docker_cpu_usage_pct,qualimap (DA142) (2854),qualimap (DA142) (2854),1626310,2854
,,0,2023-05-13T14:17:14.375653825Z,2023-06-12T14:17:14.375653825Z,2023-06-08T01:15:03.06117824Z,168.6395,docker_cpu_usage_pct,qualimap (DA142) (2854),qualimap (DA142) (2854),1626310,2854
,,0,2023-05-13T14:17:14.375653825Z,2023-06-12T14:17:14.375653825Z,2023-06-08T01:15:06.054555865Z,155.7042,docker_cpu_usage_pct,qualimap (DA142) (2854),qualimap (DA142) (2854),1626310,2854
,,0,2023-05-13T14:17:14.375653825Z,2023-06-12T14:17:14.375653825Z,2023-06-08T01:15:10.061359557Z,170.6487,docker_cpu_usage_pct,qualimap (DA142) (2854),qualimap (DA142) (2854),1626310,2854
,,0,2023-05-13T14:17:14.375653825Z,2023-06-12T14:17:14.375653825Z,2023-06-08T01:15:13.053692719Z,172.4502,docker_cpu_usage_pct,qualimap (DA142) (2854),qualimap (DA142) (2854),1626310,2854
,,0,2023-05-13T14:17:14.375653825Z,2023-06-12T14:17:14.375653825Z,2023-06-08T01:15:16.057457339Z,185.958,docker_cpu_usage_pct,qualimap (DA142) (2854),qualimap (DA142) (2854),1626310,2854
,,0,2023-05-13T14:17:14.375653825Z,2023-06-12T14:17:14.375653825Z,2023-06-08T01:15:19.057459801Z,158.26,docker_cpu_usage_pct,qualimap (DA142) (2854),qualimap (DA142) (2854),1626310,2854
,,0,2023-05-13T14:17:14.375653825Z,2023-06-12T14:17:14.375653825Z,2023-06-08T01:15:22.058115944Z,181.4933,docker_cpu_usage_pct,qualimap (DA142) (2854),qualimap (DA142) (2854),1626310,2854
,,0,2023-05-13T14:17:14.375653825Z,2023-06-12T14:17:14.375653825Z,2023-06-08T01:15:25.057442234Z,185.8948,docker_cpu_usage_pct,qualimap (DA142) (2854),qualimap (DA142) (2854),1626310,2854
,,0,2023-05-13T14:17:14.375653825Z,2023-06-12T14:17:14.375653825Z,2023-06-08T01:15:28.052091459Z,188.2336,docker_cpu_usage_pct,qualimap (DA142) (2854),qualimap (DA142) (2854),1626310,2854
,,0,2023-05-13T14:17:14.375653825Z,2023-06-12T14:17:14.375653825Z,2023-06-08T01:15:32.058283892Z,174.6047,docker_cpu_usage_pct,qualimap (DA142) (2854),qualimap (DA142) (2854),1626310,2854
,,0,2023-05-13T14:17:14.375653825Z,2023-06-12T14:17:14.375653825Z,2023-06-08T01:15:35.057811919Z,191.844,docker_cpu_usage_pct,qualimap (DA142) (2854),qualimap (DA142) (2854),1626310,2854
,,0,2023-05-13T14:17:14.375653825Z,2023-06-12T14:17:14.375653825Z,2023-06-08T01:15:38.057334536Z,183.518,docker_cpu_usage_pct,qualimap (DA142) (2854),qualimap (DA142) (2854),1626310,2854
