#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:01.859473957Z,22.47,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:03.854559567Z,25.7,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:05.854395352Z,30.02,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:07.854327572Z,33.01,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:09.855007798Z,36.18,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:11.856432248Z,38.7,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:13.857306225Z,40.36,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:15.85506488Z,42.8,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:17.854745045Z,44.95,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:19.854673351Z,47.1,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:21.855172475Z,49.8,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:23.857141686Z,51.55,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:25.854665466Z,53.82,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:28.861208737Z,55.7,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:30.854986884Z,57.81,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:32.861043104Z,59.53,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:34.857117984Z,61,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:36.857519407Z,63.26,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:38.856073386Z,64.34,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:40.856914237Z,66.69,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:42.854750528Z,68.09,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:44.854583891Z,69.87,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:46.854580862Z,71.77,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:48.861081799Z,73.3,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:50.861556367Z,73.81,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:52.859698226Z,75.07,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:54.856245448Z,76.43,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:56.856887915Z,78.41,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:42:59.86105073Z,80.4,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:43:01.86347018Z,81.21,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:43:04.861208463Z,82.95,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:43:07.85726116Z,83.19,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:43:10.856014614Z,84.17,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:43:12.854755944Z,85.48,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:43:14.857467266Z,87.54,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:43:16.863570522Z,88.86,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:43:18.865292156Z,90.25,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:43:20.855271495Z,91.19,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:43:22.856789694Z,92.43,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:43:24.854555041Z,93.95,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:43:26.857152626Z,94.88,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:43:29.860923068Z,95.68,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:43:31.864538251Z,96.79,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
,,0,2023-05-13T12:53:46.63374241Z,2023-06-12T12:53:46.63374241Z,2023-06-07T11:43:33.857050367Z,97.38,docker_used_memory_mb,samtools_filter (DA118) (1076),samtools_filter (DA118) (1076),2054689,1076
