#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-13T14:18:31.216504516Z,2023-06-12T14:18:31.216504516Z,2023-06-08T02:01:49.162010366Z,98.6725,docker_cpu_usage_pct,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.216504516Z,2023-06-12T14:18:31.216504516Z,2023-06-08T02:01:52.168531977Z,102.1473,docker_cpu_usage_pct,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.216504516Z,2023-06-12T14:18:31.216504516Z,2023-06-08T02:01:56.16953739Z,97.2525,docker_cpu_usage_pct,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.216504516Z,2023-06-12T14:18:31.216504516Z,2023-06-08T02:01:59.165497711Z,100.5397,docker_cpu_usage_pct,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.216504516Z,2023-06-12T14:18:31.216504516Z,2023-06-08T02:02:02.158799107Z,103.2427,docker_cpu_usage_pct,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.216504516Z,2023-06-12T14:18:31.216504516Z,2023-06-08T02:02:05.165981553Z,95.7313,docker_cpu_usage_pct,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.216504516Z,2023-06-12T14:18:31.216504516Z,2023-06-08T02:02:08.167167287Z,98.8623,docker_cpu_usage_pct,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.216504516Z,2023-06-12T14:18:31.216504516Z,2023-06-08T02:02:11.159836636Z,99.7382,docker_cpu_usage_pct,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.216504516Z,2023-06-12T14:18:31.216504516Z,2023-06-08T02:02:14.165358382Z,98.7516,docker_cpu_usage_pct,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.216504516Z,2023-06-12T14:18:31.216504516Z,2023-06-08T02:02:17.159827601Z,107.2013,docker_cpu_usage_pct,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.216504516Z,2023-06-12T14:18:31.216504516Z,2023-06-08T02:02:20.164507331Z,100.2339,docker_cpu_usage_pct,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.216504516Z,2023-06-12T14:18:31.216504516Z,2023-06-08T02:02:23.173181871Z,107.1506,docker_cpu_usage_pct,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.216504516Z,2023-06-12T14:18:31.216504516Z,2023-06-08T02:02:26.161145393Z,100.2955,docker_cpu_usage_pct,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.216504516Z,2023-06-12T14:18:31.216504516Z,2023-06-08T02:02:29.165311051Z,101.4704,docker_cpu_usage_pct,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.216504516Z,2023-06-12T14:18:31.216504516Z,2023-06-08T02:02:32.169623423Z,99.7793,docker_cpu_usage_pct,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.216504516Z,2023-06-12T14:18:31.216504516Z,2023-06-08T02:02:35.165397871Z,99.8956,docker_cpu_usage_pct,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
