#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-13T14:18:31.161728662Z,2023-06-12T14:18:31.161728662Z,2023-06-08T02:01:49.162010366Z,57,docker_used_memory_mb,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.161728662Z,2023-06-12T14:18:31.161728662Z,2023-06-08T02:01:52.168531977Z,60.14,docker_used_memory_mb,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.161728662Z,2023-06-12T14:18:31.161728662Z,2023-06-08T02:01:56.16953739Z,61.57,docker_used_memory_mb,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.161728662Z,2023-06-12T14:18:31.161728662Z,2023-06-08T02:01:59.165497711Z,63.1,docker_used_memory_mb,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.161728662Z,2023-06-12T14:18:31.161728662Z,2023-06-08T02:02:02.158799107Z,63.82,docker_used_memory_mb,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.161728662Z,2023-06-12T14:18:31.161728662Z,2023-06-08T02:02:05.165981553Z,64.32,docker_used_memory_mb,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.161728662Z,2023-06-12T14:18:31.161728662Z,2023-06-08T02:02:08.167167287Z,64.5,docker_used_memory_mb,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.161728662Z,2023-06-12T14:18:31.161728662Z,2023-06-08T02:02:11.159836636Z,64.83,docker_used_memory_mb,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.161728662Z,2023-06-12T14:18:31.161728662Z,2023-06-08T02:02:14.165358382Z,65.06,docker_used_memory_mb,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
,,0,2023-05-13T14:18:31.161728662Z,2023-06-12T14:18:31.161728662Z,2023-06-08T02:02:17.159827601Z,65.5,docker_used_memory_mb,sexdeterrmine (3546),sexdeterrmine (3546),3314056,3546
