#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:23:18.850914871Z,107.82,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:23:20.85049788Z,109.22,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:23:22.850502382Z,110.78,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:23:24.851357989Z,110.42,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:23:26.850695782Z,110.91,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:23:28.850437756Z,111.55,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:23:30.851065716Z,111.46,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:23:32.851088399Z,111.57,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:23:34.850606497Z,111.44,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:23:36.850394262Z,111.62,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:23:38.851027853Z,111.62,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:23:40.850617793Z,111.55,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:23:42.853100559Z,111.82,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:23:44.853674238Z,111.77,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:23:46.850938178Z,536.8,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:23:48.850896429Z,350.14,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:23:51.850609508Z,739.66,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:23:53.851497376Z,344.52,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:23:55.851008643Z,344.52,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:23:57.850764238Z,301.77,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:23:59.8510972Z,301.3,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:24:01.853391971Z,294.95,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:24:03.853175636Z,535.55,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:24:05.851104926Z,285.28,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
,,0,2023-05-24T11:37:40.793317873Z,2023-05-31T11:37:40.793317873Z,2023-05-28T23:24:07.850388777Z,276.09,docker_used_memory_mb,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta) (313),803551,313
