#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-24T11:17:54.386617614Z,2023-05-31T11:17:54.386617614Z,2023-05-29T13:22:24.554328775Z,12.13,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),2388031,2445
,,0,2023-05-24T11:17:54.386617614Z,2023-05-31T11:17:54.386617614Z,2023-05-29T13:22:26.555360629Z,14.52,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),2388031,2445
,,0,2023-05-24T11:17:54.386617614Z,2023-05-31T11:17:54.386617614Z,2023-05-29T13:22:29.55522696Z,15.75,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),2388031,2445
,,0,2023-05-24T11:17:54.386617614Z,2023-05-31T11:17:54.386617614Z,2023-05-29T13:22:31.554896131Z,16.43,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),2388031,2445
,,0,2023-05-24T11:17:54.386617614Z,2023-05-31T11:17:54.386617614Z,2023-05-29T13:22:33.554646764Z,17.53,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),2388031,2445
,,0,2023-05-24T11:17:54.386617614Z,2023-05-31T11:17:54.386617614Z,2023-05-29T13:22:35.554935985Z,996.57,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),2388031,2445
,,0,2023-05-24T11:17:54.386617614Z,2023-05-31T11:17:54.386617614Z,2023-05-29T13:22:37.565067188Z,1929.41,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),2388031,2445
,,0,2023-05-24T11:17:54.386617614Z,2023-05-31T11:17:54.386617614Z,2023-05-29T13:22:39.557087971Z,1929.6,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),2388031,2445
,,0,2023-05-24T11:17:54.386617614Z,2023-05-31T11:17:54.386617614Z,2023-05-29T13:22:41.554872943Z,2882.54,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),2388031,2445
,,0,2023-05-24T11:17:54.386617614Z,2023-05-31T11:17:54.386617614Z,2023-05-29T13:22:43.55619891Z,2906.98,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),2388031,2445
,,0,2023-05-24T11:17:54.386617614Z,2023-05-31T11:17:54.386617614Z,2023-05-29T13:22:45.554749958Z,2884.71,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),2388031,2445
,,0,2023-05-24T11:17:54.386617614Z,2023-05-31T11:17:54.386617614Z,2023-05-29T13:22:47.554806225Z,3814.28,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SRR11452400) (2445),2388031,2445
