#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-24T11:16:04.277605462Z,2023-05-31T11:16:04.277605462Z,2023-05-29T14:07:09.183769071Z,12.01,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (SRR11452486) (3218),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (SRR11452486) (3218),52357,3218
,,0,2023-05-24T11:16:04.277605462Z,2023-05-31T11:16:04.277605462Z,2023-05-29T14:07:11.183532329Z,14.79,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (SRR11452486) (3218),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (SRR11452486) (3218),52357,3218
,,0,2023-05-24T11:16:04.277605462Z,2023-05-31T11:16:04.277605462Z,2023-05-29T14:07:13.184183195Z,16.25,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (SRR11452486) (3218),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (SRR11452486) (3218),52357,3218
,,0,2023-05-24T11:16:04.277605462Z,2023-05-31T11:16:04.277605462Z,2023-05-29T14:07:15.184109878Z,17.26,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (SRR11452486) (3218),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (SRR11452486) (3218),52357,3218
,,0,2023-05-24T11:16:04.277605462Z,2023-05-31T11:16:04.277605462Z,2023-05-29T14:07:17.183473602Z,18.03,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (SRR11452486) (3218),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (SRR11452486) (3218),52357,3218
,,0,2023-05-24T11:16:04.277605462Z,2023-05-31T11:16:04.277605462Z,2023-05-29T14:07:19.18444019Z,18.25,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (SRR11452486) (3218),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (SRR11452486) (3218),52357,3218
,,0,2023-05-24T11:16:04.277605462Z,2023-05-31T11:16:04.277605462Z,2023-05-29T14:07:21.184059332Z,18.38,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (SRR11452486) (3218),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (SRR11452486) (3218),52357,3218
,,0,2023-05-24T11:16:04.277605462Z,2023-05-31T11:16:04.277605462Z,2023-05-29T14:07:23.183770449Z,283.89,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (SRR11452486) (3218),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (SRR11452486) (3218),52357,3218
,,0,2023-05-24T11:16:04.277605462Z,2023-05-31T11:16:04.277605462Z,2023-05-29T14:07:25.183473065Z,285.56,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (SRR11452486) (3218),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (SRR11452486) (3218),52357,3218
,,0,2023-05-24T11:16:04.277605462Z,2023-05-31T11:16:04.277605462Z,2023-05-29T14:07:27.183952926Z,286.77,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (SRR11452486) (3218),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (SRR11452486) (3218),52357,3218
