#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-24T11:50:59.069794776Z,2023-05-31T11:50:59.069794776Z,2023-05-29T20:03:15.580843924Z,105.6866,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),2546537,5403
,,0,2023-05-24T11:50:59.069794776Z,2023-05-31T11:50:59.069794776Z,2023-05-29T20:03:17.580278163Z,105.8855,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),2546537,5403
,,0,2023-05-24T11:50:59.069794776Z,2023-05-31T11:50:59.069794776Z,2023-05-29T20:03:19.581167569Z,106.3351,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),2546537,5403
,,0,2023-05-24T11:50:59.069794776Z,2023-05-31T11:50:59.069794776Z,2023-05-29T20:03:21.580631188Z,106.0376,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),2546537,5403
,,0,2023-05-24T11:50:59.069794776Z,2023-05-31T11:50:59.069794776Z,2023-05-29T20:03:23.580212672Z,106.2641,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),2546537,5403
,,0,2023-05-24T11:50:59.069794776Z,2023-05-31T11:50:59.069794776Z,2023-05-29T20:03:26.580941027Z,100.272,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),2546537,5403
,,0,2023-05-24T11:50:59.069794776Z,2023-05-31T11:50:59.069794776Z,2023-05-29T20:03:28.581089679Z,353.5428,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),2546537,5403
,,0,2023-05-24T11:50:59.069794776Z,2023-05-31T11:50:59.069794776Z,2023-05-29T20:03:30.580799376Z,179.4665,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),2546537,5403
,,0,2023-05-24T11:50:59.069794776Z,2023-05-31T11:50:59.069794776Z,2023-05-29T20:03:32.580297907Z,100.6622,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),2546537,5403
,,0,2023-05-24T11:50:59.069794776Z,2023-05-31T11:50:59.069794776Z,2023-05-29T20:03:34.58261072Z,100.3626,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),2546537,5403
,,0,2023-05-24T11:50:59.069794776Z,2023-05-31T11:50:59.069794776Z,2023-05-29T20:03:36.58118389Z,339.679,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),2546537,5403
,,0,2023-05-24T11:50:59.069794776Z,2023-05-31T11:50:59.069794776Z,2023-05-29T20:03:38.581635212Z,100.7359,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),2546537,5403
,,0,2023-05-24T11:50:59.069794776Z,2023-05-31T11:50:59.069794776Z,2023-05-29T20:03:40.581374671Z,105.7274,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),2546537,5403
,,0,2023-05-24T11:50:59.069794776Z,2023-05-31T11:50:59.069794776Z,2023-05-29T20:03:42.581183832Z,347.8295,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),2546537,5403
,,0,2023-05-24T11:50:59.069794776Z,2023-05-31T11:50:59.069794776Z,2023-05-29T20:03:44.580698583Z,100.6222,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),2546537,5403
,,0,2023-05-24T11:50:59.069794776Z,2023-05-31T11:50:59.069794776Z,2023-05-29T20:03:46.581349341Z,192.2791,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),2546537,5403
,,0,2023-05-24T11:50:59.069794776Z,2023-05-31T11:50:59.069794776Z,2023-05-29T20:03:48.581128532Z,100.4456,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),2546537,5403
,,0,2023-05-24T11:50:59.069794776Z,2023-05-31T11:50:59.069794776Z,2023-05-29T20:03:50.58117397Z,251.0008,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:MOSDEPTH (SRR11452494) (5403),2546537,5403
