#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-24T11:49:26.352881444Z,2023-05-31T11:49:26.352881444Z,2023-05-29T06:24:51.44915748Z,15.76,docker_used_memory_mb,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452475) (2042),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452475) (2042),2079005,2042
,,0,2023-05-24T11:49:26.352881444Z,2023-05-31T11:49:26.352881444Z,2023-05-29T06:24:53.453013333Z,18.32,docker_used_memory_mb,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452475) (2042),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452475) (2042),2079005,2042
,,0,2023-05-24T11:49:26.352881444Z,2023-05-31T11:49:26.352881444Z,2023-05-29T06:24:55.445081692Z,19.9,docker_used_memory_mb,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452475) (2042),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452475) (2042),2079005,2042
,,0,2023-05-24T11:49:26.352881444Z,2023-05-31T11:49:26.352881444Z,2023-05-29T06:24:57.449166154Z,20.23,docker_used_memory_mb,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452475) (2042),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452475) (2042),2079005,2042
,,0,2023-05-24T11:49:26.352881444Z,2023-05-31T11:49:26.352881444Z,2023-05-29T06:25:00.442892124Z,21.3,docker_used_memory_mb,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452475) (2042),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452475) (2042),2079005,2042
,,0,2023-05-24T11:49:26.352881444Z,2023-05-31T11:49:26.352881444Z,2023-05-29T06:25:02.442698119Z,21.5,docker_used_memory_mb,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452475) (2042),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452475) (2042),2079005,2042
,,0,2023-05-24T11:49:26.352881444Z,2023-05-31T11:49:26.352881444Z,2023-05-29T06:25:04.445107698Z,21.5,docker_used_memory_mb,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452475) (2042),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452475) (2042),2079005,2042
,,0,2023-05-24T11:49:26.352881444Z,2023-05-31T11:49:26.352881444Z,2023-05-29T06:25:07.442689908Z,290.64,docker_used_memory_mb,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452475) (2042),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452475) (2042),2079005,2042
,,0,2023-05-24T11:49:26.352881444Z,2023-05-31T11:49:26.352881444Z,2023-05-29T06:25:09.445320167Z,291.99,docker_used_memory_mb,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452475) (2042),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452475) (2042),2079005,2042
,,0,2023-05-24T11:49:26.352881444Z,2023-05-31T11:49:26.352881444Z,2023-05-29T06:25:11.44278681Z,293.04,docker_used_memory_mb,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452475) (2042),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452475) (2042),2079005,2042
