#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-24T11:49:27.482152703Z,2023-05-31T11:49:27.482152703Z,2023-05-29T19:53:26.187697902Z,98.1699,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452493) (5396),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452493) (5396),2266266,5396
,,0,2023-05-24T11:49:27.482152703Z,2023-05-31T11:49:27.482152703Z,2023-05-29T19:53:28.187552713Z,94.5321,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452493) (5396),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452493) (5396),2266266,5396
,,0,2023-05-24T11:49:27.482152703Z,2023-05-31T11:49:27.482152703Z,2023-05-29T19:53:30.188236371Z,98.6733,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452493) (5396),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452493) (5396),2266266,5396
,,0,2023-05-24T11:49:27.482152703Z,2023-05-31T11:49:27.482152703Z,2023-05-29T19:53:32.187882455Z,100.3258,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452493) (5396),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452493) (5396),2266266,5396
,,0,2023-05-24T11:49:27.482152703Z,2023-05-31T11:49:27.482152703Z,2023-05-29T19:53:34.187458137Z,98.7138,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452493) (5396),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452493) (5396),2266266,5396
,,0,2023-05-24T11:49:27.482152703Z,2023-05-31T11:49:27.482152703Z,2023-05-29T19:53:36.188268899Z,99.803,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452493) (5396),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452493) (5396),2266266,5396
,,0,2023-05-24T11:49:27.482152703Z,2023-05-31T11:49:27.482152703Z,2023-05-29T19:53:38.188217763Z,99.2059,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452493) (5396),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452493) (5396),2266266,5396
,,0,2023-05-24T11:49:27.482152703Z,2023-05-31T11:49:27.482152703Z,2023-05-29T19:53:40.188014421Z,103.3991,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452493) (5396),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452493) (5396),2266266,5396
,,0,2023-05-24T11:49:27.482152703Z,2023-05-31T11:49:27.482152703Z,2023-05-29T19:53:42.187253602Z,100.9001,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452493) (5396),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452493) (5396),2266266,5396
,,0,2023-05-24T11:49:27.482152703Z,2023-05-31T11:49:27.482152703Z,2023-05-29T19:53:45.188604005Z,100.0117,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452493) (5396),NFCORE_SAREK:SAREK:CRAM_QC_RECAL:SAMTOOLS_STATS (SRR11452493) (5396),2266266,5396
