#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-23T22:57:56.056615358Z,2023-05-30T22:57:56.056615358Z,2023-05-28T23:58:11.73985218Z,1688.17,docker_used_memory_mb,NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),1326432,57
,,0,2023-05-23T22:57:56.056615358Z,2023-05-30T22:57:56.056615358Z,2023-05-28T23:58:13.739552644Z,2011.74,docker_used_memory_mb,NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),1326432,57
,,0,2023-05-23T22:57:56.056615358Z,2023-05-30T22:57:56.056615358Z,2023-05-28T23:58:15.740356361Z,2017.06,docker_used_memory_mb,NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),1326432,57
,,0,2023-05-23T22:57:56.056615358Z,2023-05-30T22:57:56.056615358Z,2023-05-28T23:58:17.740068201Z,2023.47,docker_used_memory_mb,NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),1326432,57
,,0,2023-05-23T22:57:56.056615358Z,2023-05-30T22:57:56.056615358Z,2023-05-28T23:58:19.741014417Z,2026.94,docker_used_memory_mb,NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),1326432,57
,,0,2023-05-23T22:57:56.056615358Z,2023-05-30T22:57:56.056615358Z,2023-05-28T23:58:21.739627279Z,2030.55,docker_used_memory_mb,NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),1326432,57
,,0,2023-05-23T22:57:56.056615358Z,2023-05-30T22:57:56.056615358Z,2023-05-28T23:58:23.740351694Z,2033.25,docker_used_memory_mb,NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),1326432,57
,,0,2023-05-23T22:57:56.056615358Z,2023-05-30T22:57:56.056615358Z,2023-05-28T23:58:25.741673756Z,2036.4,docker_used_memory_mb,NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),1326432,57
,,0,2023-05-23T22:57:56.056615358Z,2023-05-30T22:57:56.056615358Z,2023-05-28T23:58:27.740438856Z,2039.34,docker_used_memory_mb,NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),1326432,57
,,0,2023-05-23T22:57:56.056615358Z,2023-05-30T22:57:56.056615358Z,2023-05-28T23:58:29.740210195Z,2041.31,docker_used_memory_mb,NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),1326432,57
,,0,2023-05-23T22:57:56.056615358Z,2023-05-30T22:57:56.056615358Z,2023-05-28T23:58:31.739856709Z,2042.53,docker_used_memory_mb,NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),1326432,57
,,0,2023-05-23T22:57:56.056615358Z,2023-05-30T22:57:56.056615358Z,2023-05-28T23:58:33.73953947Z,2042.98,docker_used_memory_mb,NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),1326432,57
,,0,2023-05-23T22:57:56.056615358Z,2023-05-30T22:57:56.056615358Z,2023-05-28T23:58:35.73952336Z,2044.11,docker_used_memory_mb,NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),NFCORE_SAREK:SAREK:FASTP (SRR11452479-4) (57),1326432,57
