#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-23T22:57:56.537832453Z,2023-05-30T22:57:56.537832453Z,2023-05-28T23:56:22.585178054Z,1220.3697,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),1316079,72
,,0,2023-05-23T22:57:56.537832453Z,2023-05-30T22:57:56.537832453Z,2023-05-28T23:56:24.584005883Z,1198.2888,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),1316079,72
,,0,2023-05-23T22:57:56.537832453Z,2023-05-30T22:57:56.537832453Z,2023-05-28T23:56:26.583783809Z,1197.8151,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),1316079,72
,,0,2023-05-23T22:57:56.537832453Z,2023-05-30T22:57:56.537832453Z,2023-05-28T23:56:28.584463651Z,1198.9185,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),1316079,72
,,0,2023-05-23T22:57:56.537832453Z,2023-05-30T22:57:56.537832453Z,2023-05-28T23:56:30.583986424Z,1208.4176,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),1316079,72
,,0,2023-05-23T22:57:56.537832453Z,2023-05-30T22:57:56.537832453Z,2023-05-28T23:56:32.583910897Z,1196.7331,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),1316079,72
,,0,2023-05-23T22:57:56.537832453Z,2023-05-30T22:57:56.537832453Z,2023-05-28T23:56:34.583471675Z,1205.1335,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),1316079,72
,,0,2023-05-23T22:57:56.537832453Z,2023-05-30T22:57:56.537832453Z,2023-05-28T23:56:36.584242939Z,1205.7272,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),1316079,72
,,0,2023-05-23T22:57:56.537832453Z,2023-05-30T22:57:56.537832453Z,2023-05-28T23:56:38.583928707Z,1202.0266,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),1316079,72
,,0,2023-05-23T22:57:56.537832453Z,2023-05-30T22:57:56.537832453Z,2023-05-28T23:56:40.583625101Z,1206.9355,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),1316079,72
,,0,2023-05-23T22:57:56.537832453Z,2023-05-30T22:57:56.537832453Z,2023-05-28T23:56:42.584279814Z,1204.6677,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),1316079,72
,,0,2023-05-23T22:57:56.537832453Z,2023-05-30T22:57:56.537832453Z,2023-05-28T23:56:44.584080967Z,1197.7507,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),1316079,72
,,0,2023-05-23T22:57:56.537832453Z,2023-05-30T22:57:56.537832453Z,2023-05-28T23:56:46.583578318Z,1199.5983,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),NFCORE_SAREK:SAREK:FASTP (SRR11452487-2) (72),1316079,72
