#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2023-05-23T22:57:56.872209935Z,2023-05-30T22:57:56.872209935Z,2023-05-29T00:06:06.241843548Z,CREATE,file_event,NFCORE_SAREK:SAREK:FASTP (SRR11452493-2) (87),NFCORE_SAREK:SAREK:FASTP (SRR11452493-2) (87),/home/nilsd/nextflow/build/work/fd/07ae43dc08f18f11efd3e1b3240b15/.command.trace,1375061,87
,,0,2023-05-23T22:57:56.872209935Z,2023-05-30T22:57:56.872209935Z,2023-05-29T00:06:06.260428626Z,CREATE,file_event,NFCORE_SAREK:SAREK:FASTP (SRR11452493-2) (87),NFCORE_SAREK:SAREK:FASTP (SRR11452493-2) (87),/home/nilsd/nextflow/build/work/fd/07ae43dc08f18f11efd3e1b3240b15/SRR11452493-2_1.fastq.gz,1375061,87
,,0,2023-05-23T22:57:56.872209935Z,2023-05-30T22:57:56.872209935Z,2023-05-29T00:06:06.263419845Z,CREATE,file_event,NFCORE_SAREK:SAREK:FASTP (SRR11452493-2) (87),NFCORE_SAREK:SAREK:FASTP (SRR11452493-2) (87),/home/nilsd/nextflow/build/work/fd/07ae43dc08f18f11efd3e1b3240b15/SRR11452493-2_2.fastq.gz,1375061,87
,,0,2023-05-23T22:57:56.872209935Z,2023-05-30T22:57:56.872209935Z,2023-05-29T00:06:06.265716069Z,CREATE,file_event,NFCORE_SAREK:SAREK:FASTP (SRR11452493-2) (87),NFCORE_SAREK:SAREK:FASTP (SRR11452493-2) (87),/home/nilsd/nextflow/build/work/fd/07ae43dc08f18f11efd3e1b3240b15/SRR11452493-2.fastp.log,1375061,87
,,0,2023-05-23T22:57:56.872209935Z,2023-05-30T22:57:56.872209935Z,2023-05-29T00:06:06.675245438Z,CREATE,file_event,NFCORE_SAREK:SAREK:FASTP (SRR11452493-2) (87),NFCORE_SAREK:SAREK:FASTP (SRR11452493-2) (87),/home/nilsd/nextflow/build/work/fd/07ae43dc08f18f11efd3e1b3240b15/0001.SRR11452493-2_1.fastp.fastq.gz,1375061,87
,,0,2023-05-23T22:57:56.872209935Z,2023-05-30T22:57:56.872209935Z,2023-05-29T00:06:06.678378372Z,CREATE,file_event,NFCORE_SAREK:SAREK:FASTP (SRR11452493-2) (87),NFCORE_SAREK:SAREK:FASTP (SRR11452493-2) (87),/home/nilsd/nextflow/build/work/fd/07ae43dc08f18f11efd3e1b3240b15/0001.SRR11452493-2_2.fastp.fastq.gz,1375061,87
,,0,2023-05-23T22:57:56.872209935Z,2023-05-30T22:57:56.872209935Z,2023-05-29T00:06:06.681009468Z,CREATE,file_event,NFCORE_SAREK:SAREK:FASTP (SRR11452493-2) (87),NFCORE_SAREK:SAREK:FASTP (SRR11452493-2) (87),/home/nilsd/nextflow/build/work/fd/07ae43dc08f18f11efd3e1b3240b15/0002.SRR11452493-2_1.fastp.fastq.gz,1375061,87
,,0,2023-05-23T22:57:56.872209935Z,2023-05-30T22:57:56.872209935Z,2023-05-29T00:06:06.683549551Z,CREATE,file_event,NFCORE_SAREK:SAREK:FASTP (SRR11452493-2) (87),NFCORE_SAREK:SAREK:FASTP (SRR11452493-2) (87),/home/nilsd/nextflow/build/work/fd/07ae43dc08f18f11efd3e1b3240b15/0002.SRR11452493-2_2.fastp.fastq.gz,1375061,87
,,0,2023-05-23T22:57:56.872209935Z,2023-05-30T22:57:56.872209935Z,2023-05-29T00:06:06.686221658Z,CREATE,file_event,NFCORE_SAREK:SAREK:FASTP (SRR11452493-2) (87),NFCORE_SAREK:SAREK:FASTP (SRR11452493-2) (87),/home/nilsd/nextflow/build/work/fd/07ae43dc08f18f11efd3e1b3240b15/0003.SRR11452493-2_1.fastp.fastq.gz,1375061,87
,,0,2023-05-23T22:57:56.872209935Z,2023-05-30T22:57:56.872209935Z,2023-05-29T00:06:06.688903406Z,CREATE,file_event,NFCORE_SAREK:SAREK:FASTP (SRR11452493-2) (87),NFCORE_SAREK:SAREK:FASTP (SRR11452493-2) (87),/home/nilsd/nextflow/build/work/fd/07ae43dc08f18f11efd3e1b3240b15/0003.SRR11452493-2_2.fastp.fastq.gz,1375061,87
