#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:24:45.681539417Z,249.8652,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:24:47.682206998Z,200.6717,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:24:49.681455658Z,203.9172,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:24:52.682177237Z,203.2024,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:24:54.689014254Z,210.5507,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:24:56.682055827Z,199.4296,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:24:58.689212834Z,199.2885,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:00.68234292Z,204.2837,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:02.681852317Z,200.3108,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:04.681587781Z,200.0792,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:06.682290614Z,199.967,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:08.681814352Z,200.0639,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:10.685131303Z,207.0846,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:12.68195329Z,200.2046,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:14.685091136Z,200.2346,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:16.68216716Z,200.5641,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:18.681610195Z,200.8788,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:20.682312618Z,204.0507,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:22.681859457Z,200.2384,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:24.681961781Z,201.0203,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:26.681535391Z,198.6796,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:28.682245644Z,202.2611,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:30.684257356Z,204.2984,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:32.681970369Z,200.4965,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:34.681703054Z,201.5081,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:36.685135989Z,200.962,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:38.681921034Z,200.6022,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:40.685241945Z,204.869,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:42.681873176Z,200.2623,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:44.681535768Z,200.0014,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:46.682426857Z,199.3841,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:48.682305655Z,198.5368,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:50.682126122Z,204.1221,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:52.681578877Z,199.6336,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:54.682389153Z,198.6939,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:56.681858339Z,199.7716,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
,,0,2023-05-24T11:09:19.417616763Z,2023-05-31T11:09:19.417616763Z,2023-05-28T23:25:58.681604704Z,199.4549,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),NFCORE_SAREK:SAREK:FASTQC (SRR11452480-3) (60),829578,60
