#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:14:42.121144322Z,191.8702,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:14:44.115893437Z,199.676,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:14:46.115584573Z,201.9106,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:14:48.116371744Z,202.9035,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:14:50.115894994Z,201.3159,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:14:52.115806226Z,141.4536,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:14:55.125056605Z,119.2606,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:14:57.129104191Z,103.1424,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:14:59.11698498Z,112.0247,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:01.117076717Z,110.9919,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:03.121184356Z,109.5004,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:05.117160377Z,117.1545,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:07.121707899Z,101.3978,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:09.125260288Z,111.358,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:11.117393305Z,111.4045,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:13.121125689Z,117.675,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:15.116387367Z,109.4357,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:17.123384418Z,101.4024,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:19.121095756Z,139.7479,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:21.121062687Z,113.3729,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:23.125256476Z,103.5292,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:25.125261357Z,112.3334,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:27.117137215Z,104.3051,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:29.125070374Z,111.2937,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:31.12522212Z,111.2038,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:33.117252311Z,105.5355,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:35.117069877Z,111.5731,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:37.116800188Z,111.1971,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:39.123708574Z,117.0266,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:41.123470316Z,100.2425,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:43.125218754Z,110.1533,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:45.117570814Z,106.6973,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:47.117239843Z,100.2098,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:49.115801245Z,117.3985,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:51.120782397Z,111.2859,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:54.12519923Z,99.3876,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
,,0,2023-05-24T11:31:22.565190334Z,2023-05-31T11:31:22.565190334Z,2023-05-29T02:15:56.119648928Z,110.3617,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452394) (1571),2823020,1571
