#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-24T11:31:27.022785438Z,2023-05-31T11:31:27.022785438Z,2023-05-29T18:57:37.616390112Z,161.32,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),4080349,4913
,,0,2023-05-24T11:31:27.022785438Z,2023-05-31T11:31:27.022785438Z,2023-05-29T18:57:40.616709195Z,289.04,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),4080349,4913
,,0,2023-05-24T11:31:27.022785438Z,2023-05-31T11:31:27.022785438Z,2023-05-29T18:57:42.6163621Z,733.7,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),4080349,4913
,,0,2023-05-24T11:31:27.022785438Z,2023-05-31T11:31:27.022785438Z,2023-05-29T18:57:44.621144853Z,906.64,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),4080349,4913
,,0,2023-05-24T11:31:27.022785438Z,2023-05-31T11:31:27.022785438Z,2023-05-29T18:57:46.615960139Z,1015.81,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),4080349,4913
,,0,2023-05-24T11:31:27.022785438Z,2023-05-31T11:31:27.022785438Z,2023-05-29T18:57:48.615596233Z,1183.88,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),4080349,4913
,,0,2023-05-24T11:31:27.022785438Z,2023-05-31T11:31:27.022785438Z,2023-05-29T18:57:50.616368845Z,1255.93,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),4080349,4913
,,0,2023-05-24T11:31:27.022785438Z,2023-05-31T11:31:27.022785438Z,2023-05-29T18:57:52.616192685Z,1255.32,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),4080349,4913
,,0,2023-05-24T11:31:27.022785438Z,2023-05-31T11:31:27.022785438Z,2023-05-29T18:57:54.61613466Z,1271.24,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),4080349,4913
,,0,2023-05-24T11:31:27.022785438Z,2023-05-31T11:31:27.022785438Z,2023-05-29T18:57:56.615779246Z,1272.32,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),4080349,4913
,,0,2023-05-24T11:31:27.022785438Z,2023-05-31T11:31:27.022785438Z,2023-05-29T18:57:58.615536175Z,1273.06,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),4080349,4913
,,0,2023-05-24T11:31:27.022785438Z,2023-05-31T11:31:27.022785438Z,2023-05-29T18:58:00.617389983Z,1277.47,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),4080349,4913
,,0,2023-05-24T11:31:27.022785438Z,2023-05-31T11:31:27.022785438Z,2023-05-29T18:58:03.615982143Z,1277.91,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452396) (4913),4080349,4913
