#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2023-05-24T11:32:00.456276106Z,2023-05-31T11:32:00.456276106Z,2023-05-29T05:11:40.903301167Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452475) (1902),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452475) (1902),/home/nilsd/nextflow/build/work/48/e7c87cce029064328811215492554f/cidfile_NFCORE_SAREK_SAREK_BAM_APPLYBQSR_GATK4_APPLYBQSR__SRR11452475_.txt,865932,1902
,,0,2023-05-24T11:32:00.456276106Z,2023-05-31T11:32:00.456276106Z,2023-05-29T05:11:41.423954144Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452475) (1902),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452475) (1902),/home/nilsd/nextflow/build/work/48/e7c87cce029064328811215492554f/.command.trace,865932,1902
,,0,2023-05-24T11:32:00.456276106Z,2023-05-31T11:32:00.456276106Z,2023-05-29T05:11:44.24975195Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452475) (1902),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452475) (1902),/home/nilsd/nextflow/build/work/48/e7c87cce029064328811215492554f/libgkl_compression8098467564308108282.so,865932,1902
,,0,2023-05-24T11:32:00.456276106Z,2023-05-31T11:32:00.456276106Z,2023-05-29T05:11:44.825371709Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452475) (1902),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452475) (1902),/home/nilsd/nextflow/build/work/48/e7c87cce029064328811215492554f/tmp_read_resource_5989066424179057361.config,865932,1902
,,0,2023-05-24T11:32:00.456276106Z,2023-05-31T11:32:00.456276106Z,2023-05-29T05:11:44.841328408Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452475) (1902),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452475) (1902),/home/nilsd/nextflow/build/work/48/e7c87cce029064328811215492554f/tmp_read_resource_11499741606184340323.config,865932,1902
,,0,2023-05-24T11:32:00.456276106Z,2023-05-31T11:32:00.456276106Z,2023-05-29T05:11:44.866002167Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452475) (1902),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452475) (1902),/home/nilsd/nextflow/build/work/48/e7c87cce029064328811215492554f/SRR11452475_NC_007605_1-171823.recal.cram.bai,865932,1902
,,0,2023-05-24T11:32:00.456276106Z,2023-05-31T11:32:00.456276106Z,2023-05-29T05:11:44.86970703Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452475) (1902),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452475) (1902),/home/nilsd/nextflow/build/work/48/e7c87cce029064328811215492554f/SRR11452475_NC_007605_1-171823.recal.cram,865932,1902
,,0,2023-05-24T11:32:00.456276106Z,2023-05-31T11:32:00.456276106Z,2023-05-29T05:11:46.045844392Z,DELETE,file_event,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452475) (1902),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452475) (1902),/home/nilsd/nextflow/build/work/48/e7c87cce029064328811215492554f/libgkl_compression8098467564308108282.so,865932,1902
,,0,2023-05-24T11:32:00.456276106Z,2023-05-31T11:32:00.456276106Z,2023-05-29T05:11:48.734339653Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452475) (1902),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452475) (1902),/home/nilsd/nextflow/build/work/48/e7c87cce029064328811215492554f/versions.yml,865932,1902
,,0,2023-05-24T11:32:00.456276106Z,2023-05-31T11:32:00.456276106Z,2023-05-29T05:11:49.135310498Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452475) (1902),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452475) (1902),/home/nilsd/nextflow/build/work/48/e7c87cce029064328811215492554f/.exitcode,865932,1902
