#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-24T11:26:02.243057038Z,2023-05-31T11:26:02.243057038Z,2023-05-29T08:31:18.949084036Z,160.58,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452404) (2127),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452404) (2127),3285497,2127
,,0,2023-05-24T11:26:02.243057038Z,2023-05-31T11:26:02.243057038Z,2023-05-29T08:31:20.941316491Z,280.12,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452404) (2127),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452404) (2127),3285497,2127
,,0,2023-05-24T11:26:02.243057038Z,2023-05-31T11:26:02.243057038Z,2023-05-29T08:31:22.94499553Z,522.85,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452404) (2127),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452404) (2127),3285497,2127
,,0,2023-05-24T11:26:02.243057038Z,2023-05-31T11:26:02.243057038Z,2023-05-29T08:31:24.941147542Z,833.82,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452404) (2127),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452404) (2127),3285497,2127
,,0,2023-05-24T11:26:02.243057038Z,2023-05-31T11:26:02.243057038Z,2023-05-29T08:31:26.940867062Z,893.86,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452404) (2127),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452404) (2127),3285497,2127
,,0,2023-05-24T11:26:02.243057038Z,2023-05-31T11:26:02.243057038Z,2023-05-29T08:31:28.941206351Z,895.78,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452404) (2127),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452404) (2127),3285497,2127
,,0,2023-05-24T11:26:02.243057038Z,2023-05-31T11:26:02.243057038Z,2023-05-29T08:31:30.94921419Z,1028.66,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452404) (2127),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452404) (2127),3285497,2127
,,0,2023-05-24T11:26:02.243057038Z,2023-05-31T11:26:02.243057038Z,2023-05-29T08:31:32.94923733Z,1023.3,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452404) (2127),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452404) (2127),3285497,2127
,,0,2023-05-24T11:26:02.243057038Z,2023-05-31T11:26:02.243057038Z,2023-05-29T08:31:34.945009311Z,1023.89,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452404) (2127),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452404) (2127),3285497,2127
,,0,2023-05-24T11:26:02.243057038Z,2023-05-31T11:26:02.243057038Z,2023-05-29T08:31:36.942011122Z,1026.92,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452404) (2127),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452404) (2127),3285497,2127
