#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2023-05-24T11:29:37.587474223Z,2023-05-31T11:29:37.587474223Z,2023-05-29T04:51:35.5368836Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),/home/nilsd/nextflow/build/work/c8/2a109a776e7b7e0182d3b36a18e144/SRR11452475_GL000216.recal.table,521160,1857
,,0,2023-05-24T11:29:37.587474223Z,2023-05-31T11:29:37.587474223Z,2023-05-29T04:51:35.548041484Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),/home/nilsd/nextflow/build/work/c8/2a109a776e7b7e0182d3b36a18e144/SRR11452475_GL000215.recal.table,521160,1857
,,0,2023-05-24T11:29:37.587474223Z,2023-05-31T11:29:37.587474223Z,2023-05-29T04:51:35.551139125Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),/home/nilsd/nextflow/build/work/c8/2a109a776e7b7e0182d3b36a18e144/SRR11452475_GL000217.recal.table,521160,1857
,,0,2023-05-24T11:29:37.587474223Z,2023-05-31T11:29:37.587474223Z,2023-05-29T04:51:35.554372761Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),/home/nilsd/nextflow/build/work/c8/2a109a776e7b7e0182d3b36a18e144/SRR11452475_NC_007605_1-171823.recal.table,521160,1857
,,0,2023-05-24T11:29:37.587474223Z,2023-05-31T11:29:37.587474223Z,2023-05-29T04:51:35.556885483Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),/home/nilsd/nextflow/build/work/c8/2a109a776e7b7e0182d3b36a18e144/SRR11452475_GL000199.recal.table,521160,1857
,,0,2023-05-24T11:29:37.587474223Z,2023-05-31T11:29:37.587474223Z,2023-05-29T04:51:35.559181348Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),/home/nilsd/nextflow/build/work/c8/2a109a776e7b7e0182d3b36a18e144/SRR11452475_17_1-81195210.recal.table,521160,1857
,,0,2023-05-24T11:29:37.587474223Z,2023-05-31T11:29:37.587474223Z,2023-05-29T04:51:35.561633378Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),/home/nilsd/nextflow/build/work/c8/2a109a776e7b7e0182d3b36a18e144/SRR11452475_5_1-180915260.recal.table,521160,1857
,,0,2023-05-24T11:29:37.587474223Z,2023-05-31T11:29:37.587474223Z,2023-05-29T04:51:35.56416013Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),/home/nilsd/nextflow/build/work/c8/2a109a776e7b7e0182d3b36a18e144/.command.out,521160,1857
,,0,2023-05-24T11:29:37.587474223Z,2023-05-31T11:29:37.587474223Z,2023-05-29T04:51:35.566696203Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),/home/nilsd/nextflow/build/work/c8/2a109a776e7b7e0182d3b36a18e144/.command.err,521160,1857
,,0,2023-05-24T11:29:37.587474223Z,2023-05-31T11:29:37.587474223Z,2023-05-29T04:51:35.669472048Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),/home/nilsd/nextflow/build/work/c8/2a109a776e7b7e0182d3b36a18e144/cidfile_NFCORE_SAREK_SAREK_BAM_BASERECALIBRATOR_GATK4_GATHERBQSRREPORTS__SRR11452475_.txt,521160,1857
,,0,2023-05-24T11:29:37.587474223Z,2023-05-31T11:29:37.587474223Z,2023-05-29T04:51:36.347446257Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),/home/nilsd/nextflow/build/work/c8/2a109a776e7b7e0182d3b36a18e144/.command.trace,521160,1857
,,0,2023-05-24T11:29:37.587474223Z,2023-05-31T11:29:37.587474223Z,2023-05-29T04:51:39.093678865Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),/home/nilsd/nextflow/build/work/c8/2a109a776e7b7e0182d3b36a18e144/libgkl_compression6870810243883622283.so,521160,1857
,,0,2023-05-24T11:29:37.587474223Z,2023-05-31T11:29:37.587474223Z,2023-05-29T04:51:39.249588193Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),/home/nilsd/nextflow/build/work/c8/2a109a776e7b7e0182d3b36a18e144/SRR11452475.recal.table,521160,1857
,,0,2023-05-24T11:29:37.587474223Z,2023-05-31T11:29:37.587474223Z,2023-05-29T04:51:41.442931494Z,DELETE,file_event,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),/home/nilsd/nextflow/build/work/c8/2a109a776e7b7e0182d3b36a18e144/libgkl_compression6870810243883622283.so,521160,1857
,,0,2023-05-24T11:29:37.587474223Z,2023-05-31T11:29:37.587474223Z,2023-05-29T04:51:44.313642384Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (SRR11452475) (1857),/home/nilsd/nextflow/build/work/c8/2a109a776e7b7e0182d3b36a18e144/versions.yml,521160,1857
