#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-24T11:13:07.670259316Z,2023-05-31T11:13:07.670259316Z,2023-05-29T09:26:54.345054479Z,191.51,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452400) (1858),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452400) (1858),3870983,1858
,,0,2023-05-24T11:13:07.670259316Z,2023-05-31T11:13:07.670259316Z,2023-05-29T09:26:56.345254958Z,1177.88,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452400) (1858),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452400) (1858),3870983,1858
,,0,2023-05-24T11:13:07.670259316Z,2023-05-31T11:13:07.670259316Z,2023-05-29T09:26:58.34158287Z,1580.13,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452400) (1858),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452400) (1858),3870983,1858
,,0,2023-05-24T11:13:07.670259316Z,2023-05-31T11:13:07.670259316Z,2023-05-29T09:27:00.344951653Z,1995.97,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452400) (1858),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452400) (1858),3870983,1858
,,0,2023-05-24T11:13:07.670259316Z,2023-05-31T11:13:07.670259316Z,2023-05-29T09:27:02.344389216Z,2095,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452400) (1858),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452400) (1858),3870983,1858
,,0,2023-05-24T11:13:07.670259316Z,2023-05-31T11:13:07.670259316Z,2023-05-29T09:27:04.349178404Z,2104.23,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452400) (1858),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452400) (1858),3870983,1858
,,0,2023-05-24T11:13:07.670259316Z,2023-05-31T11:13:07.670259316Z,2023-05-29T09:27:06.342182868Z,2707.75,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452400) (1858),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452400) (1858),3870983,1858
,,0,2023-05-24T11:13:07.670259316Z,2023-05-31T11:13:07.670259316Z,2023-05-29T09:27:08.341557069Z,2708.04,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452400) (1858),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452400) (1858),3870983,1858
,,0,2023-05-24T11:13:07.670259316Z,2023-05-31T11:13:07.670259316Z,2023-05-29T09:27:10.345020063Z,2718.69,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452400) (1858),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452400) (1858),3870983,1858
,,0,2023-05-24T11:13:07.670259316Z,2023-05-31T11:13:07.670259316Z,2023-05-29T09:27:12.348954003Z,3249.66,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452400) (1858),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452400) (1858),3870983,1858
