#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2023-05-24T11:13:09.887688164Z,2023-05-31T11:13:09.887688164Z,2023-05-29T10:39:43.595643524Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452490) (1991),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452490) (1991),/home/nilsd/nextflow/build/work/e0/8f1595cbd76c3a8210edc0dd649147/.command.trace,407980,1991
,,0,2023-05-24T11:13:09.887688164Z,2023-05-31T11:13:09.887688164Z,2023-05-29T10:39:46.042536904Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452490) (1991),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452490) (1991),/home/nilsd/nextflow/build/work/e0/8f1595cbd76c3a8210edc0dd649147/libgkl_compression8281817585329442398.so,407980,1991
,,0,2023-05-24T11:13:09.887688164Z,2023-05-31T11:13:09.887688164Z,2023-05-29T10:39:46.665199716Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452490) (1991),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452490) (1991),/home/nilsd/nextflow/build/work/e0/8f1595cbd76c3a8210edc0dd649147/CSPI.tmp10392733391457724174,407980,1991
,,0,2023-05-24T11:13:09.887688164Z,2023-05-31T11:13:09.887688164Z,2023-05-29T10:39:46.682266711Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452490) (1991),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452490) (1991),/home/nilsd/nextflow/build/work/e0/8f1595cbd76c3a8210edc0dd649147/CSPI.tmp10392733391457724174/10.tmp,407980,1991
,,0,2023-05-24T11:13:09.887688164Z,2023-05-31T11:13:09.887688164Z,2023-05-29T10:39:46.685788706Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452490) (1991),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452490) (1991),/home/nilsd/nextflow/build/work/e0/8f1595cbd76c3a8210edc0dd649147/CSPI.tmp10392733391457724174/1.tmp,407980,1991
,,0,2023-05-24T11:13:09.887688164Z,2023-05-31T11:13:09.887688164Z,2023-05-29T10:39:46.689233378Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452490) (1991),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452490) (1991),/home/nilsd/nextflow/build/work/e0/8f1595cbd76c3a8210edc0dd649147/CSPI.tmp10392733391457724174/11.tmp,407980,1991
,,0,2023-05-24T11:13:09.887688164Z,2023-05-31T11:13:09.887688164Z,2023-05-29T10:39:46.692740342Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452490) (1991),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452490) (1991),/home/nilsd/nextflow/build/work/e0/8f1595cbd76c3a8210edc0dd649147/CSPI.tmp10392733391457724174/15.tmp,407980,1991
,,0,2023-05-24T11:13:09.887688164Z,2023-05-31T11:13:09.887688164Z,2023-05-29T10:39:46.695522092Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452490) (1991),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452490) (1991),/home/nilsd/nextflow/build/work/e0/8f1595cbd76c3a8210edc0dd649147/CSPI.tmp10392733391457724174/8.tmp,407980,1991
,,0,2023-05-24T11:13:09.887688164Z,2023-05-31T11:13:09.887688164Z,2023-05-29T10:39:46.698253901Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452490) (1991),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452490) (1991),/home/nilsd/nextflow/build/work/e0/8f1595cbd76c3a8210edc0dd649147/CSPI.tmp10392733391457724174/6.tmp,407980,1991
,,0,2023-05-24T11:13:09.887688164Z,2023-05-31T11:13:09.887688164Z,2023-05-29T10:39:46.700832195Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452490) (1991),NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SRR11452490) (1991),/home/nilsd/nextflow/build/work/e0/8f1595cbd76c3a8210edc0dd649147/CSPI.tmp10392733391457724174/3.tmp,407980,1991
