#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2023-05-24T11:52:24.874322597Z,2023-05-31T11:52:24.874322597Z,2023-05-29T16:24:31.951128277Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (SRR11452401) (3663),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (SRR11452401) (3663),/home/nilsd/nextflow/build/work/1c/28e7f431f1161664214a010659197f/SRR11452401.recal.bam,1416685,3663
,,0,2023-05-24T11:52:24.874322597Z,2023-05-31T11:52:24.874322597Z,2023-05-29T16:31:13.364251807Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (SRR11452401) (3663),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (SRR11452401) (3663),/home/nilsd/nextflow/build/work/1c/28e7f431f1161664214a010659197f/human_g1k_v37_decoy.fasta.target.bed,1416685,3663
,,0,2023-05-24T11:52:24.874322597Z,2023-05-31T11:52:24.874322597Z,2023-05-29T16:31:56.770559462Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (SRR11452401) (3663),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (SRR11452401) (3663),/home/nilsd/nextflow/build/work/1c/28e7f431f1161664214a010659197f/human_g1k_v37_decoy.fasta.antitarget.bed,1416685,3663
,,0,2023-05-24T11:52:24.874322597Z,2023-05-31T11:52:24.874322597Z,2023-05-29T16:35:37.536320739Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (SRR11452401) (3663),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (SRR11452401) (3663),/home/nilsd/nextflow/build/work/1c/28e7f431f1161664214a010659197f/reference.cnn,1416685,3663
,,0,2023-05-24T11:52:24.874322597Z,2023-05-31T11:52:24.874322597Z,2023-05-29T16:38:20.325826663Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (SRR11452401) (3663),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (SRR11452401) (3663),/home/nilsd/nextflow/build/work/1c/28e7f431f1161664214a010659197f/SRR11452401.recal.bam.bai,1416685,3663
,,0,2023-05-24T11:52:24.874322597Z,2023-05-31T11:52:24.874322597Z,2023-05-29T17:00:56.551757397Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (SRR11452401) (3663),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (SRR11452401) (3663),/home/nilsd/nextflow/build/work/1c/28e7f431f1161664214a010659197f/SRR11452401.targetcoverage.cnn,1416685,3663
,,0,2023-05-24T11:52:24.874322597Z,2023-05-31T11:52:24.874322597Z,2023-05-29T17:01:55.566116773Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (SRR11452401) (3663),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (SRR11452401) (3663),/home/nilsd/nextflow/build/work/1c/28e7f431f1161664214a010659197f/SRR11452401.antitargetcoverage.cnn,1416685,3663
,,0,2023-05-24T11:52:24.874322597Z,2023-05-31T11:52:24.874322597Z,2023-05-29T17:05:29.669535655Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (SRR11452401) (3663),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (SRR11452401) (3663),/home/nilsd/nextflow/build/work/1c/28e7f431f1161664214a010659197f/SRR11452401.cnr,1416685,3663
,,0,2023-05-24T11:52:24.874322597Z,2023-05-31T11:52:24.874322597Z,2023-05-29T17:21:20.410373987Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (SRR11452401) (3663),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (SRR11452401) (3663),/home/nilsd/nextflow/build/work/1c/28e7f431f1161664214a010659197f/SRR11452401.cns,1416685,3663
,,0,2023-05-24T11:52:24.874322597Z,2023-05-31T11:52:24.874322597Z,2023-05-29T17:21:45.475784691Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (SRR11452401) (3663),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (SRR11452401) (3663),/home/nilsd/nextflow/build/work/1c/28e7f431f1161664214a010659197f/SRR11452401.call.cns,1416685,3663
