#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-24T11:57:16.551138523Z,2023-05-31T11:57:16.551138523Z,2023-05-29T20:54:44.719250619Z,135.07,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:MERGE_STRELKA_GENOME (SRR11452401) (6479),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:MERGE_STRELKA_GENOME (SRR11452401) (6479),3965235,6479
,,0,2023-05-24T11:57:16.551138523Z,2023-05-31T11:57:16.551138523Z,2023-05-29T20:54:46.711069607Z,255.83,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:MERGE_STRELKA_GENOME (SRR11452401) (6479),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:MERGE_STRELKA_GENOME (SRR11452401) (6479),3965235,6479
,,0,2023-05-24T11:57:16.551138523Z,2023-05-31T11:57:16.551138523Z,2023-05-29T20:54:48.710982058Z,312.82,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:MERGE_STRELKA_GENOME (SRR11452401) (6479),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:MERGE_STRELKA_GENOME (SRR11452401) (6479),3965235,6479
,,0,2023-05-24T11:57:16.551138523Z,2023-05-31T11:57:16.551138523Z,2023-05-29T20:54:50.711296572Z,354.34,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:MERGE_STRELKA_GENOME (SRR11452401) (6479),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:MERGE_STRELKA_GENOME (SRR11452401) (6479),3965235,6479
,,0,2023-05-24T11:57:16.551138523Z,2023-05-31T11:57:16.551138523Z,2023-05-29T20:54:52.711013428Z,398.54,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:MERGE_STRELKA_GENOME (SRR11452401) (6479),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:MERGE_STRELKA_GENOME (SRR11452401) (6479),3965235,6479
,,0,2023-05-24T11:57:16.551138523Z,2023-05-31T11:57:16.551138523Z,2023-05-29T20:54:54.710686035Z,399.09,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:MERGE_STRELKA_GENOME (SRR11452401) (6479),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:MERGE_STRELKA_GENOME (SRR11452401) (6479),3965235,6479
,,0,2023-05-24T11:57:16.551138523Z,2023-05-31T11:57:16.551138523Z,2023-05-29T20:54:56.711079195Z,399.4,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:MERGE_STRELKA_GENOME (SRR11452401) (6479),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:MERGE_STRELKA_GENOME (SRR11452401) (6479),3965235,6479
,,0,2023-05-24T11:57:16.551138523Z,2023-05-31T11:57:16.551138523Z,2023-05-29T20:54:58.71065036Z,394.15,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:MERGE_STRELKA_GENOME (SRR11452401) (6479),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:MERGE_STRELKA_GENOME (SRR11452401) (6479),3965235,6479
,,0,2023-05-24T11:57:16.551138523Z,2023-05-31T11:57:16.551138523Z,2023-05-29T20:55:00.7106474Z,445.89,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:MERGE_STRELKA_GENOME (SRR11452401) (6479),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:MERGE_STRELKA_GENOME (SRR11452401) (6479),3965235,6479
,,0,2023-05-24T11:57:16.551138523Z,2023-05-31T11:57:16.551138523Z,2023-05-29T20:55:02.711126797Z,446.28,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:MERGE_STRELKA_GENOME (SRR11452401) (6479),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:MERGE_STRELKA_GENOME (SRR11452401) (6479),3965235,6479
