#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2023-05-24T12:04:05.039083599Z,2023-05-31T12:04:05.039083599Z,2023-05-29T21:47:35.425848809Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452398) (4709),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452398) (4709),/home/nilsd/nextflow/build/work/96/6e72e4dc61c778ef310974aeffb57f/.command.trace,854393,4709
,,0,2023-05-24T12:04:05.039083599Z,2023-05-31T12:04:05.039083599Z,2023-05-29T21:47:47.033308143Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452398) (4709),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452398) (4709),/home/nilsd/nextflow/build/work/96/6e72e4dc61c778ef310974aeffb57f/human_g1k_v37_decoy.fasta.fai,854393,4709
,,0,2023-05-24T12:04:05.039083599Z,2023-05-31T12:04:05.039083599Z,2023-05-29T21:47:47.071200979Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452398) (4709),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452398) (4709),/home/nilsd/nextflow/build/work/96/6e72e4dc61c778ef310974aeffb57f/SRR11452398.tiddit_tiddit,854393,4709
,,0,2023-05-24T12:04:05.039083599Z,2023-05-31T12:04:05.039083599Z,2023-05-29T21:47:47.073889242Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452398) (4709),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452398) (4709),/home/nilsd/nextflow/build/work/96/6e72e4dc61c778ef310974aeffb57f/SRR11452398.tiddit_tiddit/clips,854393,4709
,,0,2023-05-24T12:04:05.039083599Z,2023-05-31T12:04:05.039083599Z,2023-05-29T21:47:47.076645067Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452398) (4709),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452398) (4709),/home/nilsd/nextflow/build/work/96/6e72e4dc61c778ef310974aeffb57f/SRR11452398.tiddit_tiddit/MCF7_Luc_006_SRR11452398.csi,854393,4709
,,0,2023-05-24T12:04:05.039083599Z,2023-05-31T12:04:05.039083599Z,2023-05-29T21:52:08.270175127Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452398) (4709),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452398) (4709),/home/nilsd/nextflow/build/work/96/6e72e4dc61c778ef310974aeffb57f/SRR11452398.tiddit_tiddit/clips/1.fa,854393,4709
,,0,2023-05-24T12:04:05.039083599Z,2023-05-31T12:04:05.039083599Z,2023-05-29T21:52:26.627546575Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452398) (4709),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452398) (4709),/home/nilsd/nextflow/build/work/96/6e72e4dc61c778ef310974aeffb57f/SRR11452398.tiddit_tiddit/clips/2.fa,854393,4709
,,0,2023-05-24T12:04:05.039083599Z,2023-05-31T12:04:05.039083599Z,2023-05-29T21:52:43.285138149Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452398) (4709),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452398) (4709),/home/nilsd/nextflow/build/work/96/6e72e4dc61c778ef310974aeffb57f/SRR11452398.tiddit_tiddit/clips/3.fa,854393,4709
,,0,2023-05-24T12:04:05.039083599Z,2023-05-31T12:04:05.039083599Z,2023-05-29T21:52:51.79054411Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452398) (4709),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452398) (4709),/home/nilsd/nextflow/build/work/96/6e72e4dc61c778ef310974aeffb57f/SRR11452398.tiddit_tiddit/clips/4.fa,854393,4709
,,0,2023-05-24T12:04:05.039083599Z,2023-05-31T12:04:05.039083599Z,2023-05-29T21:53:04.635127154Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452398) (4709),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452398) (4709),/home/nilsd/nextflow/build/work/96/6e72e4dc61c778ef310974aeffb57f/SRR11452398.tiddit_tiddit/clips/5.fa,854393,4709
