#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2023-05-24T11:42:45.964143788Z,2023-05-31T11:42:45.964143788Z,2023-05-29T02:16:09.833324604Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452474) (1613),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452474) (1613),/home/nilsd/nextflow/build/work/f9/5b7ecc8589f74999713e3421cf86d1/36,2850962,1613
,,0,2023-05-24T11:42:45.964143788Z,2023-05-31T11:42:45.964143788Z,2023-05-29T02:16:09.84209453Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452474) (1613),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452474) (1613),/home/nilsd/nextflow/build/work/f9/5b7ecc8589f74999713e3421cf86d1/36/SRR11452474_GL000217.recal.cram,2850962,1613
,,0,2023-05-24T11:42:45.964143788Z,2023-05-31T11:42:45.964143788Z,2023-05-29T02:16:09.850024618Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452474) (1613),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452474) (1613),/home/nilsd/nextflow/build/work/f9/5b7ecc8589f74999713e3421cf86d1/37,2850962,1613
,,0,2023-05-24T11:42:45.964143788Z,2023-05-31T11:42:45.964143788Z,2023-05-29T02:16:09.852885861Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452474) (1613),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452474) (1613),/home/nilsd/nextflow/build/work/f9/5b7ecc8589f74999713e3421cf86d1/37/SRR11452474_GL000216.recal.cram,2850962,1613
,,0,2023-05-24T11:42:45.964143788Z,2023-05-31T11:42:45.964143788Z,2023-05-29T02:16:09.857661817Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452474) (1613),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452474) (1613),/home/nilsd/nextflow/build/work/f9/5b7ecc8589f74999713e3421cf86d1/38,2850962,1613
,,0,2023-05-24T11:42:45.964143788Z,2023-05-31T11:42:45.964143788Z,2023-05-29T02:16:09.861396409Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452474) (1613),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452474) (1613),/home/nilsd/nextflow/build/work/f9/5b7ecc8589f74999713e3421cf86d1/38/SRR11452474_NC_007605_1-171823.recal.cram,2850962,1613
,,0,2023-05-24T11:42:45.964143788Z,2023-05-31T11:42:45.964143788Z,2023-05-29T02:16:09.863963132Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452474) (1613),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452474) (1613),/home/nilsd/nextflow/build/work/f9/5b7ecc8589f74999713e3421cf86d1/39,2850962,1613
,,0,2023-05-24T11:42:45.964143788Z,2023-05-31T11:42:45.964143788Z,2023-05-29T02:16:09.866707452Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452474) (1613),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452474) (1613),/home/nilsd/nextflow/build/work/f9/5b7ecc8589f74999713e3421cf86d1/39/SRR11452474_GL000199.recal.cram,2850962,1613
,,0,2023-05-24T11:42:45.964143788Z,2023-05-31T11:42:45.964143788Z,2023-05-29T02:16:09.870749913Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452474) (1613),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452474) (1613),/home/nilsd/nextflow/build/work/f9/5b7ecc8589f74999713e3421cf86d1/40,2850962,1613
,,0,2023-05-24T11:42:45.964143788Z,2023-05-31T11:42:45.964143788Z,2023-05-29T02:16:09.874213316Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452474) (1613),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452474) (1613),/home/nilsd/nextflow/build/work/f9/5b7ecc8589f74999713e3421cf86d1/40/SRR11452474_14_1-107349540.recal.cram,2850962,1613
