#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-24T11:42:46.072882793Z,2023-05-31T11:42:46.072882793Z,2023-05-29T06:25:54.205217902Z,271.98,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452476) (2090),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452476) (2090),2097802,2090
,,0,2023-05-24T11:42:46.072882793Z,2023-05-31T11:42:46.072882793Z,2023-05-29T06:25:56.201158391Z,190.3,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452476) (2090),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452476) (2090),2097802,2090
,,0,2023-05-24T11:42:46.072882793Z,2023-05-31T11:42:46.072882793Z,2023-05-29T06:25:59.198726828Z,254.71,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452476) (2090),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452476) (2090),2097802,2090
,,0,2023-05-24T11:42:46.072882793Z,2023-05-31T11:42:46.072882793Z,2023-05-29T06:26:01.199173525Z,348.29,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452476) (2090),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452476) (2090),2097802,2090
,,0,2023-05-24T11:42:46.072882793Z,2023-05-31T11:42:46.072882793Z,2023-05-29T06:26:04.201114698Z,208.64,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452476) (2090),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452476) (2090),2097802,2090
,,0,2023-05-24T11:42:46.072882793Z,2023-05-31T11:42:46.072882793Z,2023-05-29T06:26:06.201250396Z,312.75,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452476) (2090),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452476) (2090),2097802,2090
,,0,2023-05-24T11:42:46.072882793Z,2023-05-31T11:42:46.072882793Z,2023-05-29T06:26:09.198699875Z,465.97,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452476) (2090),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452476) (2090),2097802,2090
,,0,2023-05-24T11:42:46.072882793Z,2023-05-31T11:42:46.072882793Z,2023-05-29T06:26:12.212981084Z,467.45,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452476) (2090),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452476) (2090),2097802,2090
,,0,2023-05-24T11:42:46.072882793Z,2023-05-31T11:42:46.072882793Z,2023-05-29T06:26:15.199068516Z,464.21,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452476) (2090),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452476) (2090),2097802,2090
,,0,2023-05-24T11:42:46.072882793Z,2023-05-31T11:42:46.072882793Z,2023-05-29T06:26:17.204941405Z,469.32,docker_used_memory_mb,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452476) (2090),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452476) (2090),2097802,2090
