#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-24T11:42:46.367536463Z,2023-05-31T11:42:46.367536463Z,2023-05-29T15:12:34.161404613Z,105.4265,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452480) (3216),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452480) (3216),2599463,3216
,,0,2023-05-24T11:42:46.367536463Z,2023-05-31T11:42:46.367536463Z,2023-05-29T15:12:36.161016759Z,105.6278,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452480) (3216),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452480) (3216),2599463,3216
,,0,2023-05-24T11:42:46.367536463Z,2023-05-31T11:42:46.367536463Z,2023-05-29T15:12:38.160606425Z,104.4736,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452480) (3216),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452480) (3216),2599463,3216
,,0,2023-05-24T11:42:46.367536463Z,2023-05-31T11:42:46.367536463Z,2023-05-29T15:12:40.161201673Z,104.3346,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452480) (3216),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452480) (3216),2599463,3216
,,0,2023-05-24T11:42:46.367536463Z,2023-05-31T11:42:46.367536463Z,2023-05-29T15:12:42.161038106Z,104.8189,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452480) (3216),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452480) (3216),2599463,3216
,,0,2023-05-24T11:42:46.367536463Z,2023-05-31T11:42:46.367536463Z,2023-05-29T15:12:44.161194459Z,96.9133,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452480) (3216),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452480) (3216),2599463,3216
,,0,2023-05-24T11:42:46.367536463Z,2023-05-31T11:42:46.367536463Z,2023-05-29T15:12:47.161095588Z,155.8983,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452480) (3216),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452480) (3216),2599463,3216
,,0,2023-05-24T11:42:46.367536463Z,2023-05-31T11:42:46.367536463Z,2023-05-29T15:12:49.160855147Z,148.5506,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452480) (3216),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452480) (3216),2599463,3216
,,0,2023-05-24T11:42:46.367536463Z,2023-05-31T11:42:46.367536463Z,2023-05-29T15:12:51.160889306Z,152.6668,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452480) (3216),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452480) (3216),2599463,3216
,,0,2023-05-24T11:42:46.367536463Z,2023-05-31T11:42:46.367536463Z,2023-05-29T15:12:53.160671806Z,163.6428,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452480) (3216),NFCORE_SAREK:SAREK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (SRR11452480) (3216),2599463,3216
