#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2023-05-24T12:20:37.61887648Z,2023-05-31T12:20:37.61887648Z,2023-05-30T04:34:21.973847739Z,117.0773,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:MULTIQC (6831),NFCORE_SAREK:SAREK:MULTIQC (6831),3545276,6831
,,0,2023-05-24T12:20:37.61887648Z,2023-05-31T12:20:37.61887648Z,2023-05-30T04:34:23.973607049Z,109.0707,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:MULTIQC (6831),NFCORE_SAREK:SAREK:MULTIQC (6831),3545276,6831
,,0,2023-05-24T12:20:37.61887648Z,2023-05-31T12:20:37.61887648Z,2023-05-30T04:34:25.97436918Z,109.3056,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:MULTIQC (6831),NFCORE_SAREK:SAREK:MULTIQC (6831),3545276,6831
,,0,2023-05-24T12:20:37.61887648Z,2023-05-31T12:20:37.61887648Z,2023-05-30T04:34:27.974073416Z,99.9299,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:MULTIQC (6831),NFCORE_SAREK:SAREK:MULTIQC (6831),3545276,6831
,,0,2023-05-24T12:20:37.61887648Z,2023-05-31T12:20:37.61887648Z,2023-05-30T04:34:29.973885465Z,105.4294,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:MULTIQC (6831),NFCORE_SAREK:SAREK:MULTIQC (6831),3545276,6831
,,0,2023-05-24T12:20:37.61887648Z,2023-05-31T12:20:37.61887648Z,2023-05-30T04:34:31.973478276Z,166.6182,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:MULTIQC (6831),NFCORE_SAREK:SAREK:MULTIQC (6831),3545276,6831
,,0,2023-05-24T12:20:37.61887648Z,2023-05-31T12:20:37.61887648Z,2023-05-30T04:34:33.974479191Z,119.2324,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:MULTIQC (6831),NFCORE_SAREK:SAREK:MULTIQC (6831),3545276,6831
,,0,2023-05-24T12:20:37.61887648Z,2023-05-31T12:20:37.61887648Z,2023-05-30T04:34:35.974280527Z,144.9853,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:MULTIQC (6831),NFCORE_SAREK:SAREK:MULTIQC (6831),3545276,6831
,,0,2023-05-24T12:20:37.61887648Z,2023-05-31T12:20:37.61887648Z,2023-05-30T04:34:37.974098642Z,212.5525,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:MULTIQC (6831),NFCORE_SAREK:SAREK:MULTIQC (6831),3545276,6831
,,0,2023-05-24T12:20:37.61887648Z,2023-05-31T12:20:37.61887648Z,2023-05-30T04:34:39.973858454Z,247.5855,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:MULTIQC (6831),NFCORE_SAREK:SAREK:MULTIQC (6831),3545276,6831
,,0,2023-05-24T12:20:37.61887648Z,2023-05-31T12:20:37.61887648Z,2023-05-30T04:34:41.973706549Z,152.8952,docker_cpu_usage_pct,NFCORE_SAREK:SAREK:MULTIQC (6831),NFCORE_SAREK:SAREK:MULTIQC (6831),3545276,6831
