#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2023-05-24T12:15:10.891432791Z,2023-05-31T12:15:10.891432791Z,2023-05-30T01:00:59.857216023Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),/home/nilsd/nextflow/build/work/8a/c08231a50a13512f8e51cf877efa06/.command.trace,3941450,5413
,,0,2023-05-24T12:15:10.891432791Z,2023-05-31T12:15:10.891432791Z,2023-05-30T01:01:11.587800376Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),/home/nilsd/nextflow/build/work/8a/c08231a50a13512f8e51cf877efa06/human_g1k_v37_decoy.fasta.fai,3941450,5413
,,0,2023-05-24T12:15:10.891432791Z,2023-05-31T12:15:10.891432791Z,2023-05-30T01:01:11.619615156Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),/home/nilsd/nextflow/build/work/8a/c08231a50a13512f8e51cf877efa06/SRR11452471.tiddit_tiddit,3941450,5413
,,0,2023-05-24T12:15:10.891432791Z,2023-05-31T12:15:10.891432791Z,2023-05-30T01:01:11.622809768Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),/home/nilsd/nextflow/build/work/8a/c08231a50a13512f8e51cf877efa06/SRR11452471.tiddit_tiddit/clips,3941450,5413
,,0,2023-05-24T12:15:10.891432791Z,2023-05-31T12:15:10.891432791Z,2023-05-30T01:01:11.625567426Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),/home/nilsd/nextflow/build/work/8a/c08231a50a13512f8e51cf877efa06/SRR11452471.tiddit_tiddit/D538G_1_079_SRR11452471.csi,3941450,5413
,,0,2023-05-24T12:15:10.891432791Z,2023-05-31T12:15:10.891432791Z,2023-05-30T01:05:36.212429225Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),/home/nilsd/nextflow/build/work/8a/c08231a50a13512f8e51cf877efa06/SRR11452471.tiddit_tiddit/clips/1.fa,3941450,5413
,,0,2023-05-24T12:15:10.891432791Z,2023-05-31T12:15:10.891432791Z,2023-05-30T01:06:00.157068981Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),/home/nilsd/nextflow/build/work/8a/c08231a50a13512f8e51cf877efa06/SRR11452471.tiddit_tiddit/clips/2.fa,3941450,5413
,,0,2023-05-24T12:15:10.891432791Z,2023-05-31T12:15:10.891432791Z,2023-05-30T01:06:17.148946585Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),/home/nilsd/nextflow/build/work/8a/c08231a50a13512f8e51cf877efa06/SRR11452471.tiddit_tiddit/clips/3.fa,3941450,5413
,,0,2023-05-24T12:15:10.891432791Z,2023-05-31T12:15:10.891432791Z,2023-05-30T01:06:28.116540035Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),/home/nilsd/nextflow/build/work/8a/c08231a50a13512f8e51cf877efa06/SRR11452471.tiddit_tiddit/clips/4.fa,3941450,5413
,,0,2023-05-24T12:15:10.891432791Z,2023-05-31T12:15:10.891432791Z,2023-05-30T01:06:46.765255126Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),/home/nilsd/nextflow/build/work/8a/c08231a50a13512f8e51cf877efa06/SRR11452471.tiddit_tiddit/clips/5.fa,3941450,5413
,,0,2023-05-24T12:15:10.891432791Z,2023-05-31T12:15:10.891432791Z,2023-05-30T01:06:59.277500586Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),/home/nilsd/nextflow/build/work/8a/c08231a50a13512f8e51cf877efa06/SRR11452471.tiddit_tiddit/clips/6.fa,3941450,5413
,,0,2023-05-24T12:15:10.891432791Z,2023-05-31T12:15:10.891432791Z,2023-05-30T01:07:18.06425877Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),/home/nilsd/nextflow/build/work/8a/c08231a50a13512f8e51cf877efa06/SRR11452471.tiddit_tiddit/clips/7.fa,3941450,5413
,,0,2023-05-24T12:15:10.891432791Z,2023-05-31T12:15:10.891432791Z,2023-05-30T01:07:33.127093198Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),/home/nilsd/nextflow/build/work/8a/c08231a50a13512f8e51cf877efa06/SRR11452471.tiddit_tiddit/clips/8.fa,3941450,5413
,,0,2023-05-24T12:15:10.891432791Z,2023-05-31T12:15:10.891432791Z,2023-05-30T01:07:48.897990256Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),/home/nilsd/nextflow/build/work/8a/c08231a50a13512f8e51cf877efa06/SRR11452471.tiddit_tiddit/clips/9.fa,3941450,5413
,,0,2023-05-24T12:15:10.891432791Z,2023-05-31T12:15:10.891432791Z,2023-05-30T01:07:59.417806872Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),/home/nilsd/nextflow/build/work/8a/c08231a50a13512f8e51cf877efa06/SRR11452471.tiddit_tiddit/clips/10.fa,3941450,5413
,,0,2023-05-24T12:15:10.891432791Z,2023-05-31T12:15:10.891432791Z,2023-05-30T01:08:23.606045112Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),/home/nilsd/nextflow/build/work/8a/c08231a50a13512f8e51cf877efa06/SRR11452471.tiddit_tiddit/clips/11.fa,3941450,5413
,,0,2023-05-24T12:15:10.891432791Z,2023-05-31T12:15:10.891432791Z,2023-05-30T01:08:46.18813633Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),/home/nilsd/nextflow/build/work/8a/c08231a50a13512f8e51cf877efa06/SRR11452471.tiddit_tiddit/clips/12.fa,3941450,5413
,,0,2023-05-24T12:15:10.891432791Z,2023-05-31T12:15:10.891432791Z,2023-05-30T01:08:50.19784183Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),/home/nilsd/nextflow/build/work/8a/c08231a50a13512f8e51cf877efa06/SRR11452471.tiddit_tiddit/clips/13.fa,3941450,5413
,,0,2023-05-24T12:15:10.891432791Z,2023-05-31T12:15:10.891432791Z,2023-05-30T01:09:01.963463044Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),/home/nilsd/nextflow/build/work/8a/c08231a50a13512f8e51cf877efa06/SRR11452471.tiddit_tiddit/clips/14.fa,3941450,5413
,,0,2023-05-24T12:15:10.891432791Z,2023-05-31T12:15:10.891432791Z,2023-05-30T01:09:16.416048212Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (SRR11452471) (5413),/home/nilsd/nextflow/build/work/8a/c08231a50a13512f8e51cf877efa06/SRR11452471.tiddit_tiddit/clips/15.fa,3941450,5413
